,Taxonomy,Country,Cumulative_Count,Count
17040,Cowpox virus,Finland,1548,222
17041,Cowpox virus,France,2340,792
17042,Cowpox virus,Germany,17323,14983
17043,Cowpox virus,Italy,17336,13
17044,Cowpox virus,Kazakhstan,17343,7
17045,Cowpox virus,Luxembourg,17345,2
17046,Cowpox virus,Netherlands,17349,4
17047,Cowpox virus,Norway,17759,410
17048,Cowpox virus,Russia,17978,219
17049,Cowpox virus,Sweden,18017,39
17050,Cowpox virus,Turkmenistan,18018,1
17051,Cowpox virus,United Kingdom,19835,1817
17052,Cowpox-Vaccinia virus,Norway,5,5
17053,Coxsackievirus,Argentina,1,1
17054,Coxsackievirus,Colombia,6,5
17055,Coxsackievirus,El Salvador,8,2
17056,Coxsackievirus,Iraq,10,2
17057,Coxsackievirus,Malawi,11,1
17058,Coxsackievirus,Nicaragua,12,1
17059,Coxsackievirus,Peru,17,5
17060,Coxsackievirus,Venezuela,18,1
17061,CrAss-like virus sp.,Ireland,1563,1563
17062,CrAss-like virus sp.,USA,13745,12182
17063,CrAss-like virus sp. ctDAq1,USA,104,104
17064,CrAss-like virus sp. ctOWe7,USA,21,21
17065,CrAss-like virus sp. ctRQZ5,USA,73,73
17066,CrAss-like virus sp. ctUXy32,USA,5,5
17067,CrAss-like virus sp. ctWDt29,USA,38,38
17068,CrAss-like virus sp. ctYsL76,USA,273,273
17069,CrAss-like virus sp. ctZ6R2,USA,30,30
17070,CrAss-like virus sp. ctcfK29,USA,82,82
17071,CrAss-like virus sp. ctjK323,USA,44,44
17072,CrAss-like virus sp. ctt4r3,USA,111,111
17073,CrAssphage LMMB,Russia,81,81
17074,CrAssphage ZA,South Africa,82,82
17075,CrAssphage cat_SB2894,Canada,70,70
17076,CrAssphage sp.,USA,322,322
17077,CrAssphage sp. C0521BD4,South Africa,79,79
17078,CrAssphage sp. C0521BW15,South Africa,79,79
17079,CrAssphage sp. C0526BW15,South Africa,80,80
17080,CrAssphage sp. C0531BW4,South Africa,80,80
17081,Crab spider picornavirus,USA,1,1
17082,Cracticus torquatus polyomavirus 1,Australia,12,12
17083,Cragig virus 1,Italy,4,4
17084,Cragig virus 10,Italy,1,1
17085,Cragig virus 2,Italy,2,2
17086,Cragig virus 3,Italy,1,1
17087,Cragig virus 6,Italy,1,1
17088,Cragig virus 7,Italy,2,2
17089,Cragig virus 8,Italy,2,2
17090,Cragig virus 9,Italy,2,2
17091,Craigies Hill virus,Australia,27,27
17092,Craigies Hill virus,France,37,10
17093,Craigies Hill virus,Ghana,47,10
17094,Craigies Hill virus,Portugal,51,4
17095,Craigies Hill virus,USA,62,11
17096,Craigies Hill virus,United Kingdom,80,18
17097,Craigmillar Park virus,United Kingdom,3,3
17098,Cranberry red ringspot virus,USA,2,2
17099,Crane fly tombus-like virus 1,Uganda,1,1
17100,Crane fly tombus-like virus 2,Uganda,1,1
17101,Crane fly tombus-like virus 3,Uganda,3,3
17102,Crangon crangon flavivirus,Germany,1,1
17103,Crangon crangon nudivirus,Belgium,106,106
17104,Crassocephalum yellow vein virus,China,88,88
17105,Cremegaviridae,China,10,10
17106,Creshivirus,Japan,3,3
17107,Creshivirus,USA,7,4
17108,Creshivirus fonticola,USA,4,4
17109,Creshivirus pelohabitans,Japan,3,3
17110,Cressdnaviricota sp.,Brazil,17,17
17111,Cressdnaviricota sp.,China,21,4
17112,Cricetid gammaherpesvirus 2,Peru,246,246
17113,Cricket iridovirus,USA,208,208
17114,Cricket paralysis virus,Australia,1,1
17115,Cricket paralysis virus,Thailand,3,2
17116,Crimean-Congo hemorrhagic fever orthonairovirus,Afghanistan,16,16
17117,Crimean-Congo hemorrhagic fever orthonairovirus,Albania,27,11
17118,Crimean-Congo hemorrhagic fever orthonairovirus,Algeria,28,1
17119,Crimean-Congo hemorrhagic fever orthonairovirus,Bulgaria,75,47
17120,Crimean-Congo hemorrhagic fever orthonairovirus,Central African Republic,76,1
17121,Crimean-Congo hemorrhagic fever orthonairovirus,China,186,110
17122,Crimean-Congo hemorrhagic fever orthonairovirus,Democratic Republic of the Congo,194,8
17123,Crimean-Congo hemorrhagic fever orthonairovirus,Egypt,203,9
17124,Crimean-Congo hemorrhagic fever orthonairovirus,Greece,226,23
17125,Crimean-Congo hemorrhagic fever orthonairovirus,India,440,214
17126,Crimean-Congo hemorrhagic fever orthonairovirus,Iran,606,166
17127,Crimean-Congo hemorrhagic fever orthonairovirus,Iraq,609,3
17128,Crimean-Congo hemorrhagic fever orthonairovirus,Italy,615,6
17129,Crimean-Congo hemorrhagic fever orthonairovirus,Kazakhstan,652,37
17130,Crimean-Congo hemorrhagic fever orthonairovirus,Kenya,654,2
17131,Crimean-Congo hemorrhagic fever orthonairovirus,Kosovo,865,211
17132,Crimean-Congo hemorrhagic fever orthonairovirus,Mali,866,1
17133,Crimean-Congo hemorrhagic fever orthonairovirus,Mauritania,869,3
17134,Crimean-Congo hemorrhagic fever orthonairovirus,Namibia,885,16
17135,Crimean-Congo hemorrhagic fever orthonairovirus,Nigeria,902,17
17136,Crimean-Congo hemorrhagic fever orthonairovirus,Oman,921,19
17137,Crimean-Congo hemorrhagic fever orthonairovirus,Pakistan,1027,106
17138,Crimean-Congo hemorrhagic fever orthonairovirus,Republic of the Congo,1030,3
17139,Crimean-Congo hemorrhagic fever orthonairovirus,Russia,3261,2231
17140,Crimean-Congo hemorrhagic fever orthonairovirus,Saudi Arabia,3264,3
17141,Crimean-Congo hemorrhagic fever orthonairovirus,Senegal,3273,9
17142,Crimean-Congo hemorrhagic fever orthonairovirus,South Africa,3406,133
17143,Crimean-Congo hemorrhagic fever orthonairovirus,Spain,3438,32
17144,Crimean-Congo hemorrhagic fever orthonairovirus,Sudan,3456,18
17145,Crimean-Congo hemorrhagic fever orthonairovirus,Syria,3458,2
17146,Crimean-Congo hemorrhagic fever orthonairovirus,Tajikistan,3486,28
17147,Crimean-Congo hemorrhagic fever orthonairovirus,Turkey,3903,417
17148,Crimean-Congo hemorrhagic fever orthonairovirus,Turkmenistan,3911,8
17149,Crimean-Congo hemorrhagic fever orthonairovirus,USA,3920,9
17150,Crimean-Congo hemorrhagic fever orthonairovirus,Uganda,3979,59
17151,Crimean-Congo hemorrhagic fever orthonairovirus,United Arab Emirates,3995,16
17152,Crimean-Congo hemorrhagic fever orthonairovirus,Uzbekistan,4002,7
17153,Crimean-Congo hemorrhagic fever orthonairovirus,Yugoslavia,4006,4
17154,Crimean-Congo hemorrhagic fever orthonairovirus,Zambia,4019,13
17155,Crimson clover cryptic virus 2,Czech Republic,2,2
17156,Crimson clover cryptic virus 2,Germany,6,4
17157,Crimson snapper iridovirus,Taiwan,2,2
17158,Crinivirus,Algeria,3,3
17159,Crinivirus,Argentina,7,4
17160,Crinivirus,Bangladesh,9,2
17161,Crinivirus,Brazil,176,167
17162,Crinivirus,Burkina Faso,177,1
17163,Crinivirus,Canada,211,34
17164,Crinivirus,China,709,498
17165,Crinivirus,Colombia,976,267
17166,Crinivirus,Costa Rica,977,1
17167,Crinivirus,Cuba,978,1
17168,Crinivirus,Cyprus,990,12
17169,Crinivirus,Egypt,1001,11
17170,Crinivirus,France,1018,17
17171,Crinivirus,Greece,1116,98
17172,Crinivirus,Guatemala,1125,9
17173,Crinivirus,Honduras,1128,3
17174,Crinivirus,Hungary,1144,16
17175,Crinivirus,India,1145,1
17176,Crinivirus,Indian Ocean,1149,4
17177,Crinivirus,Indonesia,1160,11
17178,Crinivirus,Iran,1203,43
17179,Crinivirus,Israel,1240,37
17180,Crinivirus,Italy,1252,12
17181,Crinivirus,Japan,1315,63
17182,Crinivirus,Jordan,1338,23
17183,Crinivirus,Kenya,1370,32
17184,Crinivirus,Lebanon,1404,34
17185,Crinivirus,Madagascar,1407,3
17186,Crinivirus,Mauritius,1411,4
17187,Crinivirus,Mexico,1442,31
17188,Crinivirus,Nigeria,1448,6
17189,Crinivirus,Pakistan,1480,32
17190,Crinivirus,Peru,1526,46
17191,Crinivirus,Philippines,1529,3
17192,Crinivirus,Portugal,1536,7
17193,Crinivirus,Reunion,1539,3
17194,Crinivirus,Saudi Arabia,1612,73
17195,Crinivirus,Serbia,1613,1
17196,Crinivirus,South Africa,2485,872
17197,Crinivirus,South Korea,2662,177
17198,Crinivirus,Spain,2924,262
17199,Crinivirus,Sudan,2945,21
17200,Crinivirus,Taiwan,3018,73
17201,Crinivirus,Tanzania,3033,15
17202,Crinivirus,Thailand,3046,13
17203,Crinivirus,Tunisia,3065,19
17204,Crinivirus,Turkey,3125,60
17205,Crinivirus,USA,3682,557
17206,Crinivirus,Uganda,3999,317
17207,Crinivirus,United Arab Emirates,4001,2
17208,Crinivirus,United Kingdom,4014,13
17209,Crinivirus,Uruguay,4021,7
17210,Crinivirus,Zambia,4023,2
17211,Crinum mosaic virus,USA,1,1
17212,Cripavirus,Argentina,2,2
17213,Cripavirus,Australia,23,21
17214,Cripavirus,Belgium,24,1
17215,Cripavirus,Cameroon,26,2
17216,Cripavirus,Canada,28,2
17217,Cripavirus,China,70,42
17218,Cripavirus,Denmark,74,4
17219,Cripavirus,France,85,11
17220,Cripavirus,Hungary,89,4
17221,Cripavirus,India,90,1
17222,Cripavirus,Israel,104,14
17223,Cripavirus,Italy,105,1
17224,Cripavirus,Kenya,114,9
17225,Cripavirus,Morocco,119,5
17226,Cripavirus,South Africa,121,2
17227,Cripavirus,Spain,125,4
17228,Cripavirus,Thailand,127,2
17229,Cripavirus,Timor-Leste,129,2
17230,Cripavirus,Turkey,131,2
17231,Cripavirus,USA,156,25
17232,Cripavirus,Zimbabwe,158,2
17233,Cristoli virus,France,4,4
17234,Crithidia abscondita leishbunyavirus,Ecuador,3,3
17235,Crithidia otongatchiensis leishbunyavirus,Ecuador,1,1
17236,Crithidia otongatchiensis leishbunyavirus CotoLBV1,Ecuador,2,2
17237,Croada virus,Brazil,1,1
17238,Croceibacter phage P2559S,South Korea,136,136
17239,Croceibacter phage P2559Y,South Korea,102,102
17240,Crocidura russula cytomegalovirus 1,Germany,1,1
17241,Crocodylidpoxvirus,Australia,3433,3433
17242,Crocodylidpoxvirus,Zimbabwe,3779,346
17243,Crocodylidpoxvirus sp.,Australia,2,2
17244,Crocodyline herpesvirus 1,Australia,1,1
17245,Crocodyline herpesvirus 1,Thailand,3,2
17246,Crocodyline herpesvirus 2,Australia,1,1
17247,Crocodyline herpesvirus 3,Australia,1,1
17248,Crocuta crocuta gammaherpesvirus 1,Kenya,2,2
17249,Crohivirus,Cameroon,2,2
17250,Crohivirus,Saudi Arabia,3,1
17251,Crohivirus,Zambia,16,13
17252,Crohivirus A,Zambia,13,13
17253,Crohivirus B,Cameroon,2,2
17254,Crohivirus B,Saudi Arabia,3,1
17255,Cronartium ribicola mitovirus 1,Canada,2,2
17256,Cronartium ribicola mitovirus 2,Canada,2,2
17257,Cronartium ribicola mitovirus 3,Canada,2,2
17258,Cronartium ribicola mitovirus 4,Canada,2,2
17259,Cronartium ribicola mitovirus 5,Canada,2,2
17260,Cronartium ribicola totivirus 1,USA,2,2
17261,Cronartium ribicola totivirus 2,USA,2,2
17262,Cronartium ribicola totivirus 3,USA,2,2
17263,Cronartium ribicola totivirus 4,USA,2,2
17264,Cronartium ribicola totivirus 5,USA,2,2
17265,Cronobacter phage A24,China,108,108
17266,Cronobacter phage JC01,China,152,152
17267,Cronobacter phage JC03,China,268,268
17268,Cronobacter phage Pet-CM3-4,Slovakia,558,558
17269,Cronobacter phage vB_CsaD_Banach,USA,284,284
17270,Cronobacter phage vB_CsaM_Cronuts,USA,280,280
17271,Cronobacter phage vB_CsaM_Invicta,USA,283,283
17272,Cronobacter phage vB_CsaM_SemperBestia,USA,278,278
17273,Cronobacter phage vB_CsaM_leN,Ireland,286,286
17274,Cronobacter phage vB_CsaP_GAP52,Canada,230,230
17275,Cronobacter phage vB_CtuP_B1,China,52,52
17276,Cronobacter virus 009,Iran,280,280
17277,Cronobacter virus CS01,South Korea,150,150
17278,Cronobacter virus GAP161,Canada,550,550
17279,Cronobacter virus GAP227,Canada,98,98
17280,Cronobacter virus GAP31,Canada,538,538
17281,Cronobacter virus GAP32,Canada,1090,1090
17282,Cronobacter virus GW1,China,98,98
17283,Cronobacter virus PBES02,Korea,540,540
17284,Cronobacter virus leB,Ireland,560,560
17285,Cronobacter virus leE,Ireland,568,568
17286,Cronosvirus,Canada,98,98
17287,Cronosvirus,Czech Republic,143,45
17288,Cronusvirus,China,49,49
17289,Cronusvirus,USA,273,224
17290,Crotalaria juncea begomovirus,India,1,1
17291,Crotalus paramyxovirus,Brazil,8,8
17292,Croton golden mosaic virus,Colombia,14,14
17293,Croton sparsiflorus yellow vein Lakshmangarh virus,India,1,1
17294,Croton yellow vein mosaic Hisar virus,India,1,1
17295,Croton yellow vein mosaic alphasatellite,India,10,10
17296,Croton yellow vein mosaic alphasatellite,Pakistan,12,2
17297,Croton yellow vein mosaic alphasatellite,Philippines,13,1
17298,Croton yellow vein mosaic betasatellite,India,27,27
17299,Croton yellow vein mosaic betasatellite,Pakistan,52,25
17300,Croton yellow vein mosaic virus,Bangladesh,8,8
17301,Croton yellow vein mosaic virus,India,163,155
17302,Croton yellow vein mosaic virus,Pakistan,220,57
17303,Croton yellow vein mosaic virus-India,India,6,6
17304,Croton yellow vein virus,India,2,2
17305,Croton yellow vein virus,Pakistan,50,48
17306,Crow-dipper mosaic virus,China,1,1
17307,Crowned lemur adenovirus,France,1,1
17308,Cruciviridae,Antarctica,3,3
17309,Cruciviridae,Brazil,5,2
17310,Cruciviridae,Canada,12,7
17311,Cruciviridae,China,19,7
17312,Cruciviridae,France,351,332
17313,Cruciviridae,New Zealand,776,425
17314,Cruciviridae,USA,801,25
17315,Crucivirus sp.,France,332,332
17316,Crucivirus sp.,USA,338,6
17317,Crucivirus-102,New Zealand,2,2
17318,Crucivirus-111,New Zealand,2,2
17319,Crucivirus-112,New Zealand,2,2
17320,Crucivirus-113,New Zealand,2,2
17321,Crucivirus-119,New Zealand,2,2
17322,Crucivirus-122,New Zealand,2,2
17323,Crucivirus-124,New Zealand,2,2
17324,Crucivirus-133,New Zealand,2,2
17325,Crucivirus-141,New Zealand,2,2
17326,Crucivirus-146,New Zealand,2,2
17327,Crucivirus-147,New Zealand,2,2
17328,Crucivirus-148,New Zealand,2,2
17329,Crucivirus-152,New Zealand,2,2
17330,Crucivirus-158,New Zealand,2,2
17331,Crucivirus-163,New Zealand,2,2
17332,Crucivirus-168,New Zealand,2,2
17333,Crucivirus-170,New Zealand,2,2
17334,Crucivirus-174,New Zealand,2,2
17335,Crucivirus-175,New Zealand,3,3
17336,Crucivirus-182,New Zealand,2,2
17337,Crucivirus-183,USA,2,2
17338,Crucivirus-184,Brazil,2,2
17339,Crucivirus-190,New Zealand,2,2
17340,Crucivirus-195,New Zealand,2,2
17341,Crucivirus-204,New Zealand,4,4
17342,Crucivirus-205,New Zealand,4,4
17343,Crucivirus-207,New Zealand,2,2
17344,Crucivirus-211,New Zealand,2,2
17345,Crucivirus-212,New Zealand,3,3
17346,Crucivirus-224,New Zealand,2,2
17347,Crucivirus-234,New Zealand,2,2
17348,Crucivirus-241,New Zealand,2,2
17349,Crucivirus-243,New Zealand,4,4
17350,Crucivirus-245,New Zealand,2,2
17351,Crucivirus-250,New Zealand,4,4
17352,Crucivirus-251,New Zealand,4,4
17353,Crucivirus-255,New Zealand,3,3
17354,Crucivirus-264,New Zealand,4,4
17355,Crucivirus-265,New Zealand,4,4
17356,Crucivirus-266,New Zealand,4,4
17357,Crucivirus-272,New Zealand,2,2
17358,Crucivirus-275,New Zealand,2,2
17359,Crucivirus-276,New Zealand,2,2
17360,Crucivirus-277,New Zealand,2,2
17361,Crucivirus-278,New Zealand,4,4
17362,Crucivirus-281,New Zealand,2,2
17363,Crucivirus-282,New Zealand,2,2
17364,Crucivirus-291,New Zealand,2,2
17365,Crucivirus-293,New Zealand,3,3
17366,Crucivirus-295,New Zealand,3,3
17367,Crucivirus-298,USA,3,3
17368,Crucivirus-304,New Zealand,2,2
17369,Crucivirus-305,New Zealand,2,2
17370,Crucivirus-306,New Zealand,2,2
17371,Crucivirus-309,New Zealand,3,3
17372,Crucivirus-310,New Zealand,3,3
17373,Crucivirus-311,New Zealand,3,3
17374,Crucivirus-312,New Zealand,3,3
17375,Crucivirus-322,New Zealand,2,2
17376,Crucivirus-323,New Zealand,2,2
17377,Crucivirus-324,New Zealand,2,2
17378,Crucivirus-326,New Zealand,3,3
17379,Crucivirus-339,New Zealand,3,3
17380,Crucivirus-340,New Zealand,2,2
17381,Crucivirus-345,New Zealand,2,2
17382,Crucivirus-349,New Zealand,4,4
17383,Crucivirus-350,New Zealand,2,2
17384,Crucivirus-353,New Zealand,4,4
17385,Crucivirus-359,New Zealand,3,3
17386,Crucivirus-362,New Zealand,3,3
17387,Crucivirus-364,New Zealand,3,3
17388,Crucivirus-371,New Zealand,2,2
17389,Crucivirus-372,New Zealand,2,2
17390,Crucivirus-373,New Zealand,4,4
17391,Crucivirus-380,Canada,3,3
17392,Crucivirus-384,New Zealand,6,6
17393,Crucivirus-387,New Zealand,2,2
17394,Crucivirus-389,New Zealand,3,3
17395,Crucivirus-392,New Zealand,4,4
17396,Crucivirus-402,New Zealand,4,4
17397,Crucivirus-406,New Zealand,5,5
17398,Crucivirus-407,New Zealand,5,5
17399,Crucivirus-409,New Zealand,4,4
17400,Crucivirus-410,New Zealand,4,4
17401,Crucivirus-411,New Zealand,4,4
17402,Crucivirus-416,New Zealand,4,4
17403,Crucivirus-419,New Zealand,6,6
17404,Crucivirus-427,New Zealand,3,3
17405,Crucivirus-429,New Zealand,5,5
17406,Crucivirus-432,New Zealand,8,8
17407,Crucivirus-438,New Zealand,5,5
17408,Crucivirus-453,New Zealand,4,4
17409,Crucivirus-454,New Zealand,4,4
17410,Crucivirus-455,New Zealand,4,4
17411,Crucivirus-456,New Zealand,4,4
17412,Crucivirus-458,USA,8,8
17413,Crucivirus-468,New Zealand,2,2
17414,Crucivirus-472,Canada,4,4
17415,Crucivirus-474,New Zealand,4,4
17416,Crucivirus-475,New Zealand,6,6
17417,Crucivirus-479,New Zealand,2,2
17418,Crucivirus-480,New Zealand,5,5
17419,Crucivirus-482,New Zealand,6,6
17420,Crucivirus-483,New Zealand,8,8
17421,Crucivirus-495,New Zealand,5,5
17422,Crucivirus-497,New Zealand,3,3
17423,Crucivirus-499,Antarctica,3,3
17424,Crucivirus-501,New Zealand,6,6
17425,Crucivirus-505,New Zealand,10,10
17426,Crucivirus-506,New Zealand,10,10
17427,Crucivirus-509,New Zealand,7,7
17428,Crucivirus-513,New Zealand,5,5
17429,Crucivirus-514,New Zealand,2,2
17430,Crucivirus-520,New Zealand,3,3
17431,Crucivirus-523,New Zealand,2,2
17432,Crucivirus-527,New Zealand,5,5
17433,Crucivirus-528,New Zealand,5,5
17434,Crucivirus-530,New Zealand,4,4
17435,Crucivirus-534,New Zealand,7,7
17436,Crucivirus-536,New Zealand,8,8
17437,Crucivirus-538,New Zealand,8,8
17438,Crucivirus-539,New Zealand,10,10
17439,Crucivirus-540,New Zealand,6,6
17440,Crucivirus-81,New Zealand,2,2
17441,Crucivirus-88,New Zealand,2,2
17442,Crucivirus-93,New Zealand,2,2
17443,Crucivirus-94,New Zealand,2,2
17444,Crucivirus-97,New Zealand,2,2
17445,Crucivirus-99,New Zealand,2,2
17446,Crucivirus-like circular genetic element-471,New Zealand,4,4
17447,Crucivirus-like circular genetic element-85,New Zealand,2,2
17448,Cruliviridae,China,9,9
17449,Crustacea hepe-like virus 1,China,3,3
17450,Crustacean mivirus,China,6,6
17451,Crustavirus,China,20,20
17452,Cryophage ML09,Svalbard,102,102
17453,Cryphonectria carpinicola fusagravirus 1,Japan,2,2
17454,Cryphonectria hypovirus 1,Azerbaijan,2,2
17455,Cryphonectria hypovirus 1,Bosnia and Herzegovina,71,69
17456,Cryphonectria hypovirus 1,China,112,41
17457,Cryphonectria hypovirus 1,Croatia,174,62
17458,Cryphonectria hypovirus 1,France,284,110
17459,Cryphonectria hypovirus 1,Georgia,409,125
17460,Cryphonectria hypovirus 1,Germany,458,49
17461,Cryphonectria hypovirus 1,Greece,499,41
17462,Cryphonectria hypovirus 1,Italy,626,127
17463,Cryphonectria hypovirus 1,Japan,644,18
17464,Cryphonectria hypovirus 1,Macedonia,699,55
17465,Cryphonectria hypovirus 1,Slovenia,720,21
17466,Cryphonectria hypovirus 1,Spain,798,78
17467,Cryphonectria hypovirus 1,Switzerland,1002,204
17468,Cryphonectria hypovirus 1,Turkey,1052,50
17469,Cryphonectria hypovirus 1,United Kingdom,1064,12
17470,Cryphonectria hypovirus 4,USA,40,40
17471,Cryphonectria naterciae fusagravirus 1,Portugal,2,2
17472,Cryphonectria naterciae splipalmivirus 1,Portugal,5,5
17473,Cryphonectria nitschkei chrysovirus 1,South Korea,4,4
17474,Cryphonectria parasitica ambivirus 1,Azerbaijan,2,2
17475,Cryphonectria parasitica bipartite mycovirus 1,China,6,6
17476,Cryphonectria parasitica sclerotimonavirus 1,Azerbaijan,5,5
17477,Cryptophlebia leucotreta granulovirus,Cape Verde,257,257
17478,Cryptophlebia leucotreta granulovirus,South Africa,391,134
17479,Cryptophlebia peltastica nucleopolyhedrovirus,South Africa,252,252
17480,Cryptosporidium dsRNA virus,China,2,2
17481,Cryptosporidium dsRNA virus,India,4,2
17482,Cryptosporidium parvum virus 1,Japan,46,46
17483,Cryptosporidium parvum virus 1,Turkey,50,4
17484,Cryptosporidium parvum virus 1,USA,54,4
17485,Cryspovirus,Italy,1,1
17486,Cryspovirus,Japan,47,46
17487,Cryspovirus,Turkey,51,4
17488,Cryspovirus,USA,55,4
17489,Ctenolabrus rupestris betanodavirus,Norway,8,8
17490,Ctenolabrus rupestris betanodavirus,Sweden,19,11
17491,Ctenophore-associated circular genome 1,USA,3,3
17492,Ctenophore-associated circular genome 3,USA,2,2
17493,Ctenophore-associated circular genome 4,USA,2,2
17494,Ctenophore-associated circular virus 1,USA,4,4
17495,Ctenophore-associated circular virus 2,USA,4,4
17496,Ctenophore-associated circular virus 3,USA,4,4
17497,Ctenophore-associated circular virus 4,USA,4,4
17498,Cuacua virus,Mozambique,1,1
17499,Cuauhtlivirus,Mexico,132,132
17500,Cuban alphasatellite 1,Cuba,4,4
17501,Cucumber Bulgarian latent virus,Iran,4,4
17502,Cucumber aphid-borne yellows virus,China,2,2
17503,Cucumber chlorotic leaf virus,Mexico,12,12
17504,Cucumber fruit mottle mosaic virus,South Korea,4,4
17505,Cucumber fruit mottle mosaic virus,Sudan,8,4
17506,Cucumber green mottle mosaic virus,Australia,38,38
17507,Cucumber green mottle mosaic virus,Bulgaria,44,6
17508,Cucumber green mottle mosaic virus,Canada,87,43
17509,Cucumber green mottle mosaic virus,China,313,226
17510,Cucumber green mottle mosaic virus,France,323,10
17511,Cucumber green mottle mosaic virus,Germany,339,16
17512,Cucumber green mottle mosaic virus,Greece,353,14
17513,Cucumber green mottle mosaic virus,India,378,25
17514,Cucumber green mottle mosaic virus,Indonesia,379,1
17515,Cucumber green mottle mosaic virus,Iran,380,1
17516,Cucumber green mottle mosaic virus,Israel,400,20
17517,Cucumber green mottle mosaic virus,Japan,405,5
17518,Cucumber green mottle mosaic virus,Korea,418,13
17519,Cucumber green mottle mosaic virus,Kuwait,422,4
17520,Cucumber green mottle mosaic virus,Latvia,430,8
17521,Cucumber green mottle mosaic virus,Mexico,431,1
17522,Cucumber green mottle mosaic virus,Myanmar,437,6
17523,Cucumber green mottle mosaic virus,Netherlands,505,68
17524,Cucumber green mottle mosaic virus,Pakistan,510,5
17525,Cucumber green mottle mosaic virus,Poland,515,5
17526,Cucumber green mottle mosaic virus,Russia,532,17
17527,Cucumber green mottle mosaic virus,Saudi Arabia,537,5
17528,Cucumber green mottle mosaic virus,South Korea,598,61
17529,Cucumber green mottle mosaic virus,Spain,624,26
17530,Cucumber green mottle mosaic virus,Taiwan,639,15
17531,Cucumber green mottle mosaic virus,Thailand,652,13
17532,Cucumber green mottle mosaic virus,USA,694,42
17533,Cucumber green mottle mosaic virus,Uzbekistan,697,3
17534,Cucumber leaf spot virus,Canada,10,10
17535,Cucumber leaf spot virus,Iran,11,1
17536,Cucumber leaf spot virus,Israel,15,4
17537,Cucumber leaf spot virus,Jordan,20,5
17538,Cucumber leaf spot virus,Poland,26,6
17539,Cucumber leaf spot virus,Spain,27,1
17540,Cucumber mosaic virus,Argentina,1,1
17541,Cucumber mosaic virus,Australia,33,32
17542,Cucumber mosaic virus,Austria,38,5
17543,Cucumber mosaic virus,Azerbaijan,110,72
17544,Cucumber mosaic virus,Bangladesh,120,10
17545,Cucumber mosaic virus,Benin,121,1
17546,Cucumber mosaic virus,Bosnia and Herzegovina,128,7
17547,Cucumber mosaic virus,Botswana,129,1
17548,Cucumber mosaic virus,Brazil,184,55
17549,Cucumber mosaic virus,Bulgaria,186,2
17550,Cucumber mosaic virus,Cameroon,188,2
17551,Cucumber mosaic virus,Canada,189,1
17552,Cucumber mosaic virus,China,1069,880
17553,Cucumber mosaic virus,Colombia,1079,10
17554,Cucumber mosaic virus,Cote d'Ivoire,1127,48
17555,Cucumber mosaic virus,Democratic Republic of the Congo,1145,18
17556,Cucumber mosaic virus,Ecuador,1155,10
17557,Cucumber mosaic virus,Egypt,1182,27
17558,Cucumber mosaic virus,Ethiopia,1185,3
17559,Cucumber mosaic virus,France,1213,28
17560,Cucumber mosaic virus,French Polynesia,1258,45
17561,Cucumber mosaic virus,Germany,1281,23
17562,Cucumber mosaic virus,Ghana,1282,1
17563,Cucumber mosaic virus,Greece,1395,113
17564,Cucumber mosaic virus,Hungary,1400,5
17565,Cucumber mosaic virus,India,1747,347
17566,Cucumber mosaic virus,Indonesia,1772,25
17567,Cucumber mosaic virus,Iran,2005,233
17568,Cucumber mosaic virus,Iraq,2008,3
17569,Cucumber mosaic virus,Israel,2014,6
17570,Cucumber mosaic virus,Italy,2048,34
17571,Cucumber mosaic virus,Japan,2230,182
17572,Cucumber mosaic virus,Kenya,2239,9
17573,Cucumber mosaic virus,Macedonia,2257,18
17574,Cucumber mosaic virus,Malaysia,2309,52
17575,Cucumber mosaic virus,Mexico,2328,19
17576,Cucumber mosaic virus,Netherlands,2335,7
17577,Cucumber mosaic virus,New Zealand,2336,1
17578,Cucumber mosaic virus,Niger,2337,1
17579,Cucumber mosaic virus,Nigeria,2373,36
17580,Cucumber mosaic virus,North Korea,2374,1
17581,Cucumber mosaic virus,Pakistan,2393,19
17582,Cucumber mosaic virus,Panama,2395,2
17583,Cucumber mosaic virus,Philippines,2396,1
17584,Cucumber mosaic virus,Poland,2470,74
17585,Cucumber mosaic virus,Reunion,2476,6
17586,Cucumber mosaic virus,Russia,2484,8
17587,Cucumber mosaic virus,Rwanda,2495,11
17588,Cucumber mosaic virus,Saudi Arabia,2499,4
17589,Cucumber mosaic virus,Serbia,2652,153
17590,Cucumber mosaic virus,Slovakia,2657,5
17591,Cucumber mosaic virus,South Africa,2661,4
17592,Cucumber mosaic virus,South Korea,3134,473
17593,Cucumber mosaic virus,Spain,3247,113
17594,Cucumber mosaic virus,Sudan,3248,1
17595,Cucumber mosaic virus,Syria,3256,8
17596,Cucumber mosaic virus,Taiwan,3284,28
17597,Cucumber mosaic virus,Tanzania,3288,4
17598,Cucumber mosaic virus,Thailand,3348,60
17599,Cucumber mosaic virus,Tonga,3350,2
17600,Cucumber mosaic virus,Tunisia,3912,562
17601,Cucumber mosaic virus,Turkey,4024,112
17602,Cucumber mosaic virus,USA,4287,263
17603,Cucumber mosaic virus,Uganda,4305,18
17604,Cucumber mosaic virus,Ukraine,4320,15
17605,Cucumber mosaic virus,United Kingdom,4322,2
17606,Cucumber mosaic virus,Uruguay,4326,4
