Species,Host,Count
Eidolon bat coronavirus/Kenya/KY24/2006,Scotophilus dinganii,2
Eidolon bat coronavirus/Kenya/KY24/2006,Tadarida,2
Eidolon bat coronavirus/Kenya/KY24/2006,Triaenops persicus,5
Eidolon dupraenum simplexvirus 1,Eidolon dupreanum,9
Eidolon dupreanum nobecovirus,Eidolon dupreanum,1
Eidolon helvum adenovirus,Eidolon helvum,9
Eidolon helvum adenovirus 1,Eidolon helvum,1
Eidolon helvum adenovirus 2,Eidolon helvum,1
Eidolon helvum adenovirus 3,Eidolon helvum,1
Eidolon helvum herpesvirus 1,Eidolon helvum,1
Eidolon helvum herpesvirus 2,Eidolon helvum,1
Eidolon helvum herpesvirus 3,Eidolon helvum,1
Eidolon helvum kobuvirus,Eidolon helvum,1
Eidolon helvum lung retrovirus 1,Eidolon helvum,1
Eidolon helvum papillomavirus,Eidolon helvum,3
Eidolon helvum papillomavirus 4,Eidolon helvum,1
Eidolon helvum papillomavirus 5,Eidolon helvum,1
Eidolon helvum papillomavirus 6,Eidolon helvum,1
Eidolon helvum papillomavirus 7,Eidolon helvum,1
Eidolon helvum paramyxovirus,Eidolon helvum,99
Eidolon helvum parvovirus 2,Eidolon helvum,1
Eidolon helvum polyomavirus 1,Eidolon helvum,2
Eidolon helvum poxvirus 1,Eidolon helvum,1
Eidolon helvum simplexvirus 1,Eidolon helvum,3
Eidolon helvum throat retrovirus 1,Eidolon helvum,1
Eidolon paramyxovirus RC09,Eidolon helvum,21
Eidolon polyomavirus 2,Eidolon helvum,1
Eilat virus,Anopheles coustani,2
Eilat virus,Culex pipiens,1
Eimeria stiedai RNA virus 1,Eimeria stiedai,2
Eimeria stiedai RNA virus 1,Oryctolagus cuniculus,2
Eimeria tenella RNA virus 1-like virus,Chiroptera,1
Ek Balam virus,Culex quinquefasciatus,1
Ekpoma 1 tibrovirus,Homo sapiens,2
Ekpoma 2 tibrovirus,Homo sapiens,2
Ekpoma virus,Homo sapiens,6
El Moro Canyon orthohantavirus,Neotoma mexicana,1
El Moro Canyon orthohantavirus,Peromyscus maniculatus,2
El Moro Canyon orthohantavirus,Peromyscus melanotis,1
El Moro Canyon orthohantavirus,Reithrodontomys megalotis,23
El Moro Canyon orthohantavirus,Reithrodontomys sumichrasti,4
Elaphodus cephalophus bocaparvovirus,Elaphodus cephalophus,1
Elapid 1 orthobornavirus,Elapsoidea loveridgei,2
Elderberry aureusvirus 1,Sambucus nigra,45
Elderberry carlavirus A,Sambucus,2
Elderberry carlavirus B,Sambucus,2
Elderberry latent virus,Chenopodium quinoa,2
Elderberry latent virus,Sambucus,1
Elemess virus,Culex erythrothorax,26
Elephant endotheliotropic herpesvirus 2,Loxodonta africana,41
Elephant endotheliotropic herpesvirus 3,Elephas maximus,7
Elephant endotheliotropic herpesvirus 3,Loxodonta africana,60
Elephant endotheliotropic herpesvirus 4,Elephas maximus,48
Elephant endotheliotropic herpesvirus 5,Elephas maximus,71
Elephant endotheliotropic herpesvirus 6,Loxodonta africana,42
Elephant endotheliotropic herpesvirus 7,Loxodonta africana,9
Elephant gammaherpesvirus 1B,Loxodonta africana,3
Elephant gammaherpesvirus 2,Elephas maximus,2
Elephant gammaherpesvirus 2,Loxodonta africana,3
Elephant gammaherpesvirus 3A,Elephas maximus,2
Elephant gammaherpesvirus 3B,Loxodonta africana,3
Elephant gammaherpesvirus 4,Loxodonta africana,1
Elephant gammaherpesvirus 5,Elephas maximus,1
Elephant gammaherpesvirus 5,Loxodonta africana,1
Elephantid betaherpesvirus 1,Elephas maximus,1004
Elephantid herpesvirus 3,Elephas maximus,1
Elephantid herpesvirus 4,Elephas maximus,1
Elephantid herpesvirus 6,Loxodonta africana,1
Elephantopus scaber closterovirus,Elephantopus scaber,1
Elephas maximus gammaherpesvirus 1,Elephas maximus,1
Eleusine indica associated virus,Eleusine indica,2
Elf Loch virus,Bombus sp.,1
Elicom virus 1,Elliptio complanata,2
Elisy virus,Culex tarsalis,2
Elizabethkingia phage EKP1,Elizabethkingia anophelis,1
Elizabethkingia phage TCUEAP1,Elizabethkingia anophelis,1
Elk circovirus Banff/2019,Cervus canadensis,1
Elk gammaherpesvirus 1,Cervus canadensis,1
Elk gammaherpesvirus 2,Cervus canadensis,1
Elk gammaherpesvirus 3,Cervus canadensis,1
Elkhorn sea moss toti-like virus,Kappaphycus alvarezii,1
Ellsworth virus,Pygoscelis antarcticus,1
Elm carlavirus,Ulmus laevis,2
Elm mottle virus,Ulmus glabra,10
Elm mottle virus,Ulmus laevis,6
Emalynvirus emalyn,Gordonia rubripertincta,1
Embera virus,Wyeomyia,1
Emberiza chrysophrys CRESS-DNA-virus sp.,Emberiza chrysophrys,2
Emberiza chrysophrys Genomoviridae sp.,Emberiza chrysophrys,2
Emberiza chrysophrys parvoviridae sp.,Emberiza chrysophrys,2
Emberiza cioides CRESS-DNA-virus sp.,Emberiza cioides,2
Emberiza cioides Genomoviridae sp.,Emberiza cioides,1
Emberiza elegans CRESS-DNA-virus sp.,Emberiza elegans,1
Emberiza elegans Genomoviridae sp.,Emberiza elegans,3
Emberiza pusilla Chaphamaparvovirus,Emberiza pusilla,1
Emberiza pusilla parvo-like hybrid virus,Emberiza pusilla,1
Emberiza pusilla parvoviridae sp.,Emberiza pusilla,6
Emberiza rustica CRESS-DNA-virus sp.,Emberiza rustica,7
Emberiza rustica Genomoviridae sp.,Emberiza rustica,6
Emberiza rustica parvoviridae sp.,Emberiza rustica,3
Emberiza spodocephala CRESS-DNA-virus sp.,Emberiza spodocephala,4
Emberiza spodocephala Genomoviridae sp.,Emberiza spodocephala,13
Emberiza spodocephala parvoviridae sp.,Emberiza spodocephala,4
Emberiza tristrami CRESS-DNA-virus sp.,Emberiza tristrami,1
Emberiza tristrami Genomoviridae sp.,Emberiza tristrami,2
Emberiza tristrami parvoviridae sp.,Emberiza tristrami,1
Embiopteran flavi-related virus,Antipaluria urichi,1
Embossos phlebovirus,Phlebotominae,2
Embossos virus,Phlebotominae,1
Emesvirus japonicum,Enterobacteriaceae,3
Emesvirus piscicola,activated sludge metagenome,1
Emileo virus,Culiseta incidens,1
Emilia sonchifolia noda-like virus,Emilia sonchifolia,1
Emilia sonchifolia yellow vein Thailand virus,Emilia sonchifolia,2
Emilia yellow vein Fujian betasatellite,Emilia sonchifolia,3
Emilia yellow vein Fujian virus,Emilia sonchifolia,2
Emilia yellow vein virus,Crassocephalum crepidioides,1
Emilia yellow vein virus,Emilia sonchifolia,14
Emilia yellow vein virus-associated DNA beta,Crassocephalum crepidioides,1
Emilia yellow vein virus-associated DNA beta,Emilia sonchifolia,2
Emiliania huxleyi virus 145,Emiliania huxleyi,1
Emiliania huxleyi virus 156,Emiliania huxleyi,1
Emiliania huxleyi virus 163,Emiliania huxleyi,1
Emiliania huxleyi virus 164,Emiliania huxleyi,1
Emiliania huxleyi virus 18,Emiliania huxleyi,1
Emiliania huxleyi virus 201,Emiliania huxleyi,2
Emiliania huxleyi virus 202,Emiliania huxleyi,2
Emiliania huxleyi virus 203,Emiliania huxleyi,2
Emiliania huxleyi virus 204,Emiliania huxleyi,2
Emiliania huxleyi virus 205,Emiliania huxleyi,1
Emiliania huxleyi virus 206,Emiliania huxleyi,1
Emiliania huxleyi virus 207,Emiliania huxleyi,2
Emiliania huxleyi virus 208,Emiliania huxleyi,2
Emiliania huxleyi virus 209,Emiliania huxleyi,1
Emiliania huxleyi virus 84,Emiliania huxleyi,2
Emiliania huxleyi virus 86,Emiliania huxleyi,2
Emiliania huxleyi virus 88,Emiliania huxleyi,2
Emiliania huxleyi virus 99B1,Emiliania huxleyi,9
Emiliania huxleyi virus M1,Emiliania huxleyi,1
Emiliania huxleyi virus PS401,Emiliania huxleyi,1
Emiliania huxleyi virus V2,Emiliania huxleyi,1
Emiliania huxleyi virus sp.,Emiliania huxleyi,122
Emiliania huxleyi virus sp.,Emiliania huxleyi CCMP373,26
Emiliania huxleyi virus sp.,Emiliania huxleyi DWN 61/87/10,15
Empeyrat virus,Scaptodrosophila deflexa,1
Empivirus allolyticum,Escherichia coli J53,2
Emydid herpesvirus,Glyptemys muhlenbergii,1
Emydid herpesvirus,Graptemys geographica,1
Emydid herpesvirus 1,Pseudemys concinna concinna,2
Emydoidea blandingii herpesvirus 2,Emys blandingii,1
Emydoidea herpesvirus 1,Emys blandingii,1
Encephalopathy and retinopathy virus,Dicentrarchus labrax,1
Endive necrotic mosaic virus,Cichorium endivia,1
Endive necrotic mosaic virus,Lactuca,2
Endive necrotic mosaic virus,Lactuca sativa,2
Endive yellows virus,Cichorium endivia,2
Endive yellows virus,Lactuca sativa,2
Endogenous enzootic nasal tumor virus,Capra hircus,3
Endogenous prairie dog retrovirus,Cynomys ludovicianus,1
Endogenous sheep retrovirus,Ovis aries,2
Endornaviridae sp.,Nycteribiidae,1
Endornavirus sp.,Geranium carolinianum,1
Endornavirus sp.,Hydrocotyle umbellata,1
Endornavirus sp.,Hydrocotyle verticillata,1
Endornavirus sp.,Sisyrinchium atlanticum,1
Endornavirus sp.,Sorghum halepense,1
Endornavirus-like 1,Anopheles gambiae,1
Endornavirus-like 2,Anopheles gambiae,1
Endornavirus-like 3,Anopheles gambiae,1
Endornavirus-like virus,Ceratobasidium sp.,15
Enseada orthobunyavirus,Culex epanatasis,9
Enset leaf streak virus,Ensete ventricosum,1
Ensystermes virus,Schedorhinotermes intermedius,1
Entamoeba-associated CRESS DNA virus 1,Entamoeba,4
Entamoeba-associated CRESS DNA virus 2,Entamoeba,2
Entamoeba-associated CRESS DNA virus 3,Entamoeba,2
Entamoeba-associated CRESS DNA virus 4,Entamoeba,3
Entebbe bat virus,Chaerephon pumilus,1
Entebbe bat virus,Chiroptera,2
Enterobacter phage ATCEA23,Klebsiella aerogenes,1
Enterobacter phage ATCEA85,Klebsiella aerogenes,1
Enterobacter phage Arya,Enterobacter sp. CT7,2
Enterobacter phage BUCT554,Enterobacter cloacae,1
Enterobacter phage E-4,Enterobacter cloacae,1
Enterobacter phage EBPL,Enterobacter cloacae,1
Enterobacter phage EC-F1,Enterobacter cloacae,1
Enterobacter phage EC-F2,Enterobacter cloacae,1
Enterobacter phage EC-W1,Enterobacter cloacae,1
Enterobacter phage EC-W2,Enterobacter cloacae,1
Enterobacter phage EC151,Enterobacter cloacae,1
Enterobacter phage ENC13,Enterobacter cloacae,1
Enterobacter phage ENC14,Enterobacter cloacae,1
Enterobacter phage ENC16,Enterobacter cloacae,1
Enterobacter phage ENC18,Enterobacter cloacae,1
Enterobacter phage ENC19,Enterobacter cloacae,1
Enterobacter phage ENC2-2,Enterobacter cloacae,1
Enterobacter phage ENC20,Enterobacter cloacae,1
Enterobacter phage ENC22,Enterobacter kobei,1
Enterobacter phage ENC25,Enterobacter cloacae,1
Enterobacter phage ENC31,Enterobacter cloacae,1
Enterobacter phage ENC7,Enterobacter cloacae,1
Enterobacter phage ENC9,Enterobacter cloacae,1
Enterobacter phage EP1,Enterobacter,1
Enterobacter phage EV136_1,Enterobacter,1
Enterobacter phage Enc34,Enterobacter cancerogenus,2
Enterobacter phage EspM4VN,Enterobacter asburiae,2
Enterobacter phage IME278,Enterobacter hormaechei,1
Enterobacter phage KKP_3262,Enterobacter cloacae,1
Enterobacter phage KKP_3263,Enterobacter ludwigii,1
Enterobacter phage KNP7,Enterobacter sp.,2
Enterobacter phage LAU1,Enterobacter hormaechei subsp. xiangfangensis,1
Enterobacter phage N5822,Enterobacter cloacae,1
Enterobacter phage PF-CE2,Enterobacter,1
Enterobacter phage PZJ0206,Enterobacter cloacae,1
Enterobacter phage Phc,Enterobacter hormaechei,1
Enterobacter phage Tyrion,Enterobacter sp. CT7,2
Enterobacter phage myPSH1140,Enterobacter cloacae,2
Enterobacter phage phi63_307,Cronobacter sakazakii,1
Enterobacter phage phiEap-2,Klebsiella aerogenes,2
Enterobacter phage prasa_myo,Enterobacter cloacae,1
Enterobacter phage vB-EclM_KMB17,Enterobacter cloacae,1
Enterobacter phage vB-EclM_KMB19,Enterobacter cloacae,1
Enterobacter phage vB-EclM_KMB20,Enterobacter cloacae,1
Enterobacter phage vB_EcRAM-01,Enterobacter cloacae complex,1
Enterobacter phage vB_EclM_Q7622,Enterobacter cloacae,1
Enterobacter phage vB_EclS_CobraSix,Enterobacter cloacae,1
Enterobacter phage vB_EhoM-IME523,Enterobacter hormaechei,1
Enterobacter phage vB_EkoM5VN,Enterobacter kobei,1
Enterobacter phage vB_SEqdws-315,Salmonella,1
Enterobacter virus CIP9,Enterobacter cloacae,2
Enterobacter virus E2,Enterobacter cloacae,2
Enterobacter virus E3,Enterobacter cloacae,2
Enterobacter virus Eap1,Klebsiella aerogenes,2
Enterobacter virus Eap3,Klebsiella aerogenes,2
Enterobacter virus EcL1,Enterobacter cloacae,2
Enterobacter virus EcP1,Enterobacter cloacae,2
Enterobacter virus EcpYZU01,Enterobacter cloacae,2
Enterobacter virus F20,Klebsiella aerogenes,2
Enterobacter virus KDA1,Enterobacter cloacae,2
Enterobacter virus KPN3,Enterobacter,2
Enterobacter virus PG7,Enterobacter cloacae,2
Enterobacter virus phiT5282H,Enterobacter cloacae,2
Enterobacteria phage 020324,Escherichia coli O157:H7,2
Enterobacteria phage 1,Enterobacter cloacae,1
Enterobacteria phage 22,Enterobacteriaceae,1
Enterobacteria phage 22deltatox,Escherichia coli O157:H7,2
Enterobacteria phage 27,Enterobacteriaceae,1
Enterobacteria phage 27deltatox,Escherichia coli O157:H7,2
Enterobacteria phage 3/7,Enterobacteriaceae,1
Enterobacteria phage 32,Enterobacteriaceae,1
Enterobacteria phage 32deltatox,Escherichia coli O157:H7,2
Enterobacteria phage 6220,Escherichia coli,1
Enterobacteria phage 82,Enterobacteriaceae,2
Enterobacteria phage 933J,Escherichia coli,1
Enterobacteria phage A312,Escherichia coli O157:H7,1
Enterobacteria phage A315,Escherichia coli O157:H7,1
Enterobacteria phage A397,Escherichia coli O157:H7,1
Enterobacteria phage A5,Enterobacteriaceae,2
Enterobacteria phage A534,Escherichia coli O157:H7,1
Enterobacteria phage A549,Escherichia coli O157:H7,1
Enterobacteria phage A557,Escherichia coli O157:H7,1
Enterobacteria phage A580,Escherichia coli O157:H7,1
Enterobacteria phage A75,Escherichia coli O157:H7,1
Enterobacteria phage AH67C600_Q5,Escherichia coli,1
Enterobacteria phage ATK47,Escherichia coli,2
Enterobacteria phage ATK48,Escherichia coli,1
Enterobacteria phage Ac3,Enterobacteriaceae,1
Enterobacteria phage Ac3,Escherichia coli O127:B8,1
Enterobacteria phage BR2,Escherichia coli,1
Enterobacteria phage Baker,Enterobacteriaceae,2
Enterobacteria phage Brandy,Enterobacteriaceae,1
Enterobacteria phage C-1,Enterobacteriaceae,3
Enterobacteria phage C1.2,Escherichia coli O157:H7,1
Enterobacteria phage C14,Escherichia coli O157:H7,1
Enterobacteria phage C16,Enterobacteriaceae,1
Enterobacteria phage CEV1,Enterobacteriaceae,1
Enterobacteria phage CHB7,Escherichia coli,1
Enterobacteria phage CL707,Escherichia coli,1
Enterobacteria phage CP-1639,Enterobacteriaceae,1
Enterobacteria phage CP-1639,Escherichia coli,1
Enterobacteria phage CUS-3,Escherichia coli,18
Enterobacteria phage CUS-3,Escherichia coli RS218,1
Enterobacteria phage Cognac,Enterobacteriaceae,1
Enterobacteria phage D1G,Enterobacteriaceae,1
Enterobacteria phage DD VI,Enterobacteriaceae,1
Enterobacteria phage EC10,Enterobacteriaceae,4
Enterobacteria phage ECGD1,Enterobacteriaceae,1
Enterobacteria phage ELY-1,Escherichia coli,1
Enterobacteria phage ES18,Enterobacteriaceae,2
Enterobacteria phage ES18,Salmonella enterica subsp. enterica serovar Typhimurium,1
Enterobacteria phage F3,Enterobacteriaceae,1
Enterobacteria phage F5,Enterobacteriaceae,1
Enterobacteria phage F6,Enterobacteriaceae,2
Enterobacteria phage FIZ15,Enterobacteriaceae,1
Enterobacteria phage FSalpha,Enterobacteriaceae,2
Enterobacteria phage Felix 01-A2,Enterobacteriaceae,1
Enterobacteria phage Felix 01-B1,Enterobacteriaceae,3
Enterobacteria phage G14,Enterobacteriaceae,1
Enterobacteria phage GV2412,Escherichia coli,1
Enterobacteria phage GV8,Escherichia coli,1
Enterobacteria phage H-19B,Enterobacteriaceae,7
Enterobacteria phage H19J,Escherichia coli,1
Enterobacteria phage HK225,Escherichia coli,2
Enterobacteria phage HK244,Escherichia coli,1
Enterobacteria phage IME10,Escherichia coli,3
Enterobacteria phage IME177,Escherichia coli,1
Enterobacteria phage IP008,Enterobacteriaceae,2
Enterobacteria phage JS9,Escherichia coli,1
Enterobacteria phage JS98-C3,Enterobacteriaceae,6
Enterobacteria phage JSD1,Escherichia coli,1
Enterobacteria phage JSD2,Escherichia coli,1
Enterobacteria phage JSD3,Escherichia coli,1
Enterobacteria phage JSD5,Escherichia coli,1
Enterobacteria phage JSL5,Escherichia coli,1
Enterobacteria phage K1,Enterobacteriaceae,2
Enterobacteria phage K11,Enterobacteriaceae,4
Enterobacteria phage K11,Klebsiella,1
Enterobacteria phage K1A,Enterobacteriaceae,1
Enterobacteria phage K3,Enterobacteriaceae,14
Enterobacteria phage K3,Escherichia coli,2
Enterobacteria phage KC69,Enterobacteriaceae,5
Enterobacteria phage KC69,Escherichia coli,1
Enterobacteria phage KEP10,Enterobacteriaceae,2
Enterobacteria phage KhF1,Escherichia coli,1
Enterobacteria phage KhF2,Escherichia coli,1
Enterobacteria phage KhF3,Escherichia coli,1
Enterobacteria phage L,Enterobacteriaceae,1
Enterobacteria phage L,Salmonella enterica subsp. enterica serovar Typhimurium,1
Enterobacteria phage L1,Enterobacteriaceae,2
Enterobacteria phage L1,Escherichia coli O157:H7,3
Enterobacteria phage L34,Escherichia coli,1
Enterobacteria phage LC159,Escherichia coli O157:H7,1
Enterobacteria phage LG1,Enterobacteriaceae,4
Enterobacteria phage LP7,Enterobacteriaceae,1
Enterobacteria phage LZ1,Enterobacteriaceae,4
Enterobacteria phage LZ10,Enterobacteriaceae,5
Enterobacteria phage LZ2,Enterobacteriaceae,4
Enterobacteria phage LZ3,Enterobacteriaceae,2
Enterobacteria phage LZ4,Enterobacteriaceae,4
Enterobacteria phage LZ5,Enterobacteriaceae,6
Enterobacteria phage LZ6,Enterobacteriaceae,4
Enterobacteria phage LZ7,Enterobacteriaceae,5
Enterobacteria phage LZ8,Enterobacteriaceae,1
Enterobacteria phage LZ9,Enterobacteriaceae,3
Enterobacteria phage Lahn1,Escherichia coli,1
Enterobacteria phage Lahn2,Escherichia coli,1
Enterobacteria phage Lahn3,Escherichia coli,1
Enterobacteria phage Ly1,Escherichia coli O157:H7,1
Enterobacteria phage M1,Enterobacteriaceae,9
Enterobacteria phage MV 72,Enterobacteriaceae,1
Enterobacteria phage MV BS,Enterobacteriaceae,1
Enterobacteria phage MV SS,Enterobacteriaceae,6
Enterobacteria phage MV12,Enterobacteriaceae,2
Enterobacteria phage MV13,Enterobacteriaceae,1
Enterobacteria phage MV14,Enterobacteriaceae,1
Enterobacteria phage MV9,Enterobacteriaceae,2
Enterobacteria phage Mi,Enterobacteriaceae,1
Enterobacteria phage Nil2,Escherichia coli,1
Enterobacteria phage Nil3,Escherichia coli O157:H7,1
Enterobacteria phage O157-292,Escherichia coli O157:H7,1
Enterobacteria phage O157-310,Escherichia coli O157:H7,1
Enterobacteria phage O157-330,Escherichia coli O157:H7,1
Enterobacteria phage O157-379,Escherichia coli O157:H7,1
Enterobacteria phage O157-469,Escherichia coli O157:H7,1
Enterobacteria phage O157-572,Escherichia coli O157:H7,1
Enterobacteria phage Ox2,Enterobacteriaceae,10
Enterobacteria phage P-EibC,Escherichia coli,1
Enterobacteria phage P-EibD,Escherichia coli,1
Enterobacteria phage P-EibE,Escherichia coli,1
Enterobacteria phage P4,Dickeya chrysanthemi,1
Enterobacteria phage P4,Enterobacteriaceae,7
Enterobacteria phage P4,Escherichia coli,1
Enterobacteria phage P88,Escherichia coli,2
Enterobacteria phage PA-2,Enterobacteriaceae,1
Enterobacteria phage PP01,Enterobacteriaceae,5
Enterobacteria phage PP01,Escherichia coli O157:H7,2
Enterobacteria phage PPompW_132418,Enterobacteriaceae,1
Enterobacteria phage PPompW_699,Enterobacteriaceae,1
Enterobacteria phage PPompW_EH1846,Enterobacteriaceae,1
Enterobacteria phage PPompW_EH1992,Enterobacteriaceae,1
Enterobacteria phage PPompW_EH2201,Enterobacteriaceae,1
Enterobacteria phage PPompW_EH2246,Enterobacteriaceae,1
Enterobacteria phage PPyecE_EH1910,Enterobacteriaceae,1
Enterobacteria phage PR02,Escherichia coli,1
Enterobacteria phage PST,Enterobacteriaceae,2
Enterobacteria phage Phi75,Salmonella enterica subsp. enterica,1
Enterobacteria phage Pol,Enterobacteriaceae,6
Enterobacteria phage RB1,Enterobacteriaceae,2
Enterobacteria phage RB15,Enterobacteriaceae,10
Enterobacteria phage RB2,Enterobacteriaceae,7
Enterobacteria phage RB21,Enterobacteriaceae,2
Enterobacteria phage RB23,Enterobacteriaceae,8
Enterobacteria phage RB25,Enterobacteriaceae,2
Enterobacteria phage RB26,Enterobacteriaceae,1
Enterobacteria phage RB30,Enterobacteriaceae,2
Enterobacteria phage RB30,Escherichia coli,1
Enterobacteria phage RB33,Enterobacteriaceae,5
Enterobacteria phage RB33,Escherichia coli B,1
Enterobacteria phage RB4,Enterobacteriaceae,1
Enterobacteria phage RB42,Enterobacteriaceae,2
Enterobacteria phage RB42,Escherichia coli,1
Enterobacteria phage RB51,Enterobacteriaceae,5
Enterobacteria phage RB61,Enterobacteriaceae,5
Enterobacteria phage RB62,Enterobacteriaceae,3
Enterobacteria phage RB68,Enterobacteriaceae,1
Enterobacteria phage RB68,Escherichia coli B,2
Enterobacteria phage RB70,Enterobacteriaceae,7
Enterobacteria phage RB8,Enterobacteriaceae,2
Enterobacteria phage SC1,Enterobacteriaceae,1
Enterobacteria phage SC370,Escherichia coli O157:H7,1
Enterobacteria phage SCI,Enterobacteriaceae,1
Enterobacteria phage ST104,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,2
Enterobacteria phage ST2-8624,Escherichia coli,2
Enterobacteria phage ST286-24,Enterobacteriaceae,1
Enterobacteria phage SV76,Enterobacteriaceae,2
Enterobacteria phage Sf101,Shigella flexneri,2
Enterobacteria phage SfI,Shigella flexneri,2
Enterobacteria phage SfV,Enterobacteriaceae,1
Enterobacteria phage SfV,Shigella flexneri,1
Enterobacteria phage T2,Enterobacteriaceae,27
Enterobacteria phage T2,Escherichia,2
Enterobacteria phage T2,Escherichia coli B,1
Enterobacteria phage T2H,Enterobacteriaceae,3
Enterobacteria phage T2L,Enterobacteriaceae,5
Enterobacteria phage T5-D1,Enterobacteriaceae,2
Enterobacteria phage TuIa,Enterobacteriaceae,7
Enterobacteria phage TuIa,Escherichia coli,2
Enterobacteria phage TuIb,Enterobacteriaceae,8
Enterobacteria phage U3,Enterobacteriaceae,1
Enterobacteria phage U4,Enterobacteriaceae,3
Enterobacteria phage U5,Enterobacteriaceae,7
Enterobacteria phage UAB_Phi20,Enterobacteriaceae,4
Enterobacteria phage UAB_Phi20,Salmonella enterica subsp. enterica,2
Enterobacteria phage V11,Escherichia coli O157:H7,1
Enterobacteria phage VT1-Sakai,Enterobacteriaceae,1
Enterobacteria phage VT2-Sakai,Enterobacteriaceae,3
Enterobacteria phage VT2-Sakai,Escherichia coli O157:H7,3
Enterobacteria phage VT2phi_272,Escherichia coli,2
Enterobacteria phage VTB178,Escherichia coli O8:H19,1
Enterobacteria phage VTB323,Escherichia coli,1
Enterobacteria phage VTB324,Escherichia coli,1
Enterobacteria phage VTB46,Escherichia coli,1
Enterobacteria phage VTB60,Escherichia coli,1
Enterobacteria phage VTB75,Escherichia coli,1
Enterobacteria phage VTB91,Escherichia coli,1
Enterobacteria phage VTCCBP1,Escherichia coli,1
Enterobacteria phage W31,Enterobacteriaceae,1
Enterobacteria phage WA13 sensu lato,Enterobacteriaceae,2
Enterobacteria phage WA13 sensu lato,Escherichia coli,1
Enterobacteria phage Whisky,Enterobacteriaceae,1
Enterobacteria phage XTG1,Escherichia coli,1
Enterobacteria phage cdtI,Escherichia coli,2
Enterobacteria phage fd,Enterobacteriaceae,62
Enterobacteria phage mEp021,Enterobacteriaceae,1
Enterobacteria phage mEp021,Escherichia coli str. K-12 substr. W3110,1
Enterobacteria phage mEp234,Escherichia coli,1
Enterobacteria phage mEp237,Escherichia coli,2
Enterobacteria phage mEp332,Escherichia coli,1
Enterobacteria phage mEp460,Escherichia coli,2
Enterobacteria phage nvv1,Escherichia coli,1
Enterobacteria phage pEcSw,Escherichia coli,1
Enterobacteria phage phi21,Enterobacteriaceae,3
Enterobacteria phage phi24B,Enterobacteriaceae,1
Enterobacteria phage phi24B,Escherichia coli O157:H7,2
Enterobacteria phage phi50,Enterobacteriaceae,1
Enterobacteria phage phi80,Enterobacteriaceae,12
Enterobacteria phage phi80,Escherichia coli,3
Enterobacteria phage phi92,Escherichia coli,2
Enterobacteria phage phiC600P9,Escherichia coli,2
Enterobacteria phage phiP27,Enterobacteriaceae,6
Enterobacteria phage phiP27,Escherichia coli,3
Enterobacteria phage phiW39,Enterobacteriaceae,1
Enterobacteria phage phiX174 sensu lato,Enterobacteriaceae,18
Enterobacteria phage phiX174 sensu lato,Escherichia coli,1
Enterobacteria phage vB_EcoM-VR20,Escherichia coli,1
Enterobacteria phage vB_EcoM-VR5,Escherichia coli,1
Enterobacteria phage vB_EcoM_IME281,Escherichia coli BL21(DE3),2
Enterobacteria phage vB_EcoM_IME338,Escherichia coli BL21(DE3),1
Enterobacteria phage vB_EcoM_IME339,Escherichia coli BL21(DE3),2
Enterobacteria phage vB_EcoM_IME341,Escherichia coli BL21(DE3),2
Enterobacteria phage vB_EcoM_IME540,Escherichia coli,1
Enterobacteria phage vB_EcoS_IME167,Escherichia coli BL21(DE3),1
Enterobacteria virus 2851,Escherichia coli,2
Enterobacteria virus 2851,Escherichia coli O157:H7,1
Enterobacteria virus Aplg8,Escherichia coli,2
Enterobacteria virus BP4795,Escherichia coli,1
Enterobacteria virus BP4795,Escherichia fergusonii,1
Enterobacteria virus GiZh,Escherichia coli,2
Enterobacteria virus HK140,Escherichia coli,2
Enterobacteria virus IME340,Escherichia coli BL21(DE3),2
Enterobacteria virus IME390,Escherichia coli BL21,2
Enterobacteria virus Kha5h,Escherichia coli,2
Enterobacteria virus O276,Escherichia coli,2
Enterobacteria virus RB18,Enterobacteriaceae,2
Enterobacteria virus RB18,Escherichia coli,2
Enterobacteria virus RB27,Enterobacteriaceae,10
Enterobacteria virus RB27,Escherichia coli B,2
Enterobacteria virus T6,Enterobacteriaceae,24
Enterobacteria virus T6,Escherichia coli,1
Enterobacteria virus T6,Escherichia coli B,1
Enterobacteria virus T7M,Enterobacteriaceae,1
Enterobacteria virus T7M,Escherichia coli,2
Enterobacteria virus YYZ2008,Enterobacteriaceae,1
Enterobacteria virus YYZ2008,Escherichia coli O157:H7,1
Enterobacteria virus mEp043,Escherichia coli,2
Enterobacteria virus mEp213,Escherichia coli,2
Enterobacteria virus mEp235,Escherichia coli,2
Enterobacteriaceae phage S-394,Escherichia coli,1
Enterobacterial phage P-EibA,Escherichia coli,1
Enterobacterial phage mEp390,Escherichia coli,2
Enterococcal phage FC1,Enterococcus faecalis,1
Enterococcus phage 113,Enterococcus faecium,1
Enterococcus phage 156,Enterococcus,2
Enterococcus phage 163,Enterococcus faecium,1
Enterococcus phage 47,Enterococcus faecalis EnGen0243,1
Enterococcus phage 9181,Enterococcus,1
Enterococcus phage 9183,Enterococcus,2
Enterococcus phage 9184,Enterococcus sp.,1
Enterococcus phage AE4_17,Enterococcus faecalis,2
Enterococcus phage AE4_2,Enterococcus faecalis,1
