,Taxonomy,Collection_Date,Cumulative_Count,Count
4613,Avian orthoavulavirus 1,1983.0,167,1
4614,Salmonid novirhabdovirus,1983.0,13,1
4615,African swine fever virus,1983.0,3139,218
4616,Retroviridae,1983.0,544,49
4617,Cassava common mosaic virus,1983.0,9,2
4618,Tobamovirus,1983.0,9,2
4619,Astroviridae,1983.0,12,5
4620,Tapara phlebovirus,1983.0,8,8
4621,Aino orthobunyavirus,1983.0,30,3
4622,Carnivore protoparvovirus 1,1983.0,104,36
4623,Rathayibacter phage NCPPB3778,1983.0,77,77
4624,Orthorubulavirus,1983.0,238,10
4625,Birnaviridae,1983.0,16,6
4626,Saint Louis encephalitis virus,1983.0,40,2
4627,Anticarsia gemmatalis multiple nucleopolyhedrovirus,1983.0,1267,4
4628,Orthoavulavirus,1983.0,179,1
4629,Avipoxvirus,1983.0,21,2
4630,Infectious bursal disease virus,1983.0,12,6
4631,Kobuvirus,1983.0,1,1
4632,Tobacco mild green mosaic virus,1983.0,1,1
4633,Begomovirus,1983.0,32,20
4634,Cardiovirus,1983.0,6,1
4635,Mumps orthorubulavirus,1983.0,169,3
4636,Myoviridae,1983.0,5065,90
4637,Orthobunyavirus,1983.0,1486,27
4638,Mammalian orthorubulavirus 5,1983.0,69,7
4639,Mamastrovirus 1,1983.0,5,4
4640,Anadyr orthobunyavirus,1983.0,3,3
4641,Flaviviridae,1983.0,1084,52
4642,Betasatellite,1983.0,1,1
4643,Honeysuckle yellow vein virus,1983.0,6,6
4644,Closterovirus,1983.0,49,1
4645,Poacevirus,1983.0,12,12
4646,Witsand virus,1983.0,1,1
4647,Flanders hapavirus,1983.0,56,6
4648,Parechovirus,1983.0,22,5
4649,Cardiovirus A,1983.0,5,1
4650,Ash River virus,1983.0,2,2
4651,Flavivirus,1983.0,999,52
4652,Avibirnavirus,1983.0,12,6
4653,Cowpea mild mottle virus,1983.0,12,12
4654,East Asian Passiflora virus,1983.0,1,1
4655,Akabane orthobunyavirus,1983.0,125,12
4656,Influenza A virus,1983.0,17234,1746
4657,Aichivirus A,1983.0,1,1
4658,Orthopneumovirus,1983.0,779,55
4659,Carp sprivivirus,1983.0,4,2
4660,Paramyxoviridae,1983.0,1043,96
4661,Kama virus,1983.0,2,2
4662,Rhinovirus A,1983.0,6,3
4663,Equid alphaherpesvirus 1,1983.0,334,3
4664,Asfivirus,1983.0,3139,218
4665,Hapavirus,1983.0,339,6
4666,Carlavirus,1983.0,77,12
4667,Apple stem grooving virus,1983.0,10,2
4668,Human orthopneumovirus,1983.0,772,55
4669,Capillovirus,1983.0,10,2
4670,Bovine alphaherpesvirus 1,1983.0,902,4
4671,Epizootic hemorrhagic disease virus,1983.0,169,10
4672,Equid alphaherpesvirus 4,1983.0,874,79
4673,Vesiculovirus,1983.0,98,24
4674,All Species,1983.0,73828,3968
4675,Parechovirus A,1983.0,10,5
4676,Mamastrovirus,1983.0,8,4
4677,Bluetongue virus,1983.0,614,22
4678,Piscine novirhabdovirus,1983.0,87,2
4679,Bandavirus,1983.0,36,8
4680,Varicellovirus,1983.0,3254,162
4681,Parvoviridae,1983.0,144,41
4682,Rhadinovirus,1983.0,140,2
4683,Honeysuckle yellow vein betasatellite,1983.0,1,1
4684,Salmon aquaparamyxovirus,1983.0,16,8
4685,Parapoxvirus,1983.0,18,2
4686,Myxoma virus,1983.0,2021,1
4687,Felid alphaherpesvirus 1,1983.0,760,76
4688,Citrus tristeza virus,1983.0,49,1
4689,Citrus vein enation virus,1983.0,20,10
4690,Capripoxvirus,1983.0,880,8
4691,Hantaviridae,1983.0,58,13
4692,Psittacine orthoreovirus AGPReo1983,1983.0,1,1
4693,Closteroviridae,1983.0,49,1
4694,Aphthovirus,1983.0,381,18
4695,Turnip mosaic virus,1983.0,2,1
4696,Carajas vesiculovirus,1983.0,11,11
4697,Potyviridae,1984.0,99,10
4698,Carnivore protoparvovirus 1,1984.0,124,20
4699,Chicken astrovirus,1984.0,4,2
4700,Pneumoviridae,1984.0,1014,191
4701,Mopeia mammarenavirus,1984.0,13,5
4702,Alphamesonivirus 1,1984.0,24,9
4703,Alphamesonivirus,1984.0,30,9
4704,Cordoba virus,1984.0,2,2
4705,Human alphaherpesvirus 3,1984.0,217,71
4706,Human mastadenovirus D,1984.0,1205,92
4707,Human mastadenovirus B,1984.0,413,90
4708,Carlavirus,1984.0,83,6
4709,Reoviridae,1984.0,4523,285
4710,Murray Valley encephalitis virus,1984.0,13,1
4711,Hepatitis delta virus,1984.0,11,1
4712,Chickpea chlorosis virus,1984.0,4,4
4713,Chikungunya virus,1984.0,97,12
4714,Avastrovirus,1984.0,8,5
4715,Flanders hapavirus,1984.0,58,2
4716,Feline rotavirus,1984.0,22,22
4717,Feline immunodeficiency virus,1984.0,8,8
4718,Norovirus sp.,1984.0,10,4
4719,Piscine novirhabdovirus,1984.0,96,9
4720,Foot-and-mouth disease virus,1984.0,393,28
4721,Pestivirus,1984.0,22,2
4722,Norovirus,1984.0,336,11
4723,Metapneumovirus,1984.0,46,2
4724,Human immunodeficiency virus 1,1984.0,665,192
4725,Coronaviridae,1984.0,519,25
4726,Poxviridae,1984.0,8379,12
4727,Western equine encephalitis virus,1984.0,49,1
4728,Potyvirus,1984.0,84,10
4729,Chicken astrovirus 2,1984.0,1,1
4730,Human gammaherpesvirus 8,1984.0,52,7
4731,Pestivirus C,1984.0,20,1
4732,Avastrovirus 2,1984.0,1,1
4733,Pestivirus D,1984.0,1,1
4734,Ngewotan negevirus,1984.0,11,8
4735,Akabane orthobunyavirus,1984.0,145,20
4736,African swine fever virus,1984.0,3378,239
4737,Human gammaherpesvirus 4,1984.0,1037,2
4738,Protoparvovirus,1984.0,130,20
4739,Changuinola virus,1984.0,192,20
4740,Adenoviridae,1984.0,3122,216
4741,Capripoxvirus,1984.0,890,10
4742,Phlebovirus,1984.0,603,22
4743,Human alphaherpesvirus 1,1984.0,824,1
4744,Human betaherpesvirus 5,1984.0,1130,335
4745,Human metapneumovirus,1984.0,46,2
4746,All Species,1984.0,78415,4587
4747,Rift Valley fever phlebovirus,1984.0,287,6
4748,Potato virus S,1984.0,65,6
4749,Yellow fever virus,1984.0,35,2
4750,Nairoviridae,1984.0,321,13
4751,Avian coronavirus,1984.0,370,25
4752,Tahyna orthobunyavirus,1984.0,65,4
4753,Suid alphaherpesvirus 1,1984.0,18,2
4754,Candiru phlebovirus,1984.0,20,4
4755,Crimean-Congo hemorrhagic fever orthonairovirus,1984.0,95,13
4756,Rhinovirus B,1984.0,2,1
4757,Human orthopneumovirus,1984.0,961,189
4758,Rhinovirus A,1984.0,8,2
4759,Avipoxvirus isolate Maryland,1984.0,2,2
4760,Gammacoronavirus,1984.0,370,25
4761,Virgaviridae,1984.0,54,17
4762,Zika virus,1984.0,43,10
4763,Flavivirus,1984.0,1067,68
4764,Baculoviridae,1984.0,6490,782
4765,Caprine alphaherpesvirus 1,1984.0,2,2
4766,Almpiwar sripuvirus,1984.0,25,8
4767,Alphabaculovirus,1984.0,5640,782
4768,Rhadinovirus,1984.0,147,7
4769,Rhinovirus C,1984.0,8,1
4770,Influenza A virus,1984.0,18096,862
4771,Rabies lyssavirus,1984.0,297,59
4772,California encephalitis orthobunyavirus,1984.0,19,3
4773,Cassava frogskin associated virus,1984.0,20,5
4774,Picornaviridae,1984.0,858,112
4775,Tobamovirus,1984.0,26,17
4776,Human mastadenovirus E,1984.0,405,34
4777,Retroviridae,1984.0,770,226
4778,Tobacco mild green mosaic virus,1984.0,6,5
4779,Alcelaphine gammaherpesvirus 2,1984.0,140,140
4780,Negevirus,1984.0,35,14
4781,Cassava Torrado-like virus,1984.0,4,2
4782,Potexvirus,1984.0,90,8
4783,Middelburg virus,1984.0,8,2
4784,West Nile virus,1984.0,67,2
4785,Alphainfluenzavirus,1984.0,18096,862
4786,Avian orthoreovirus,1984.0,6,6
4787,Husavirus,1984.0,1,1
4788,Husavirus ACS160,1984.0,1,1
4789,Mesoniviridae,1984.0,33,9
4790,Caliciviridae,1984.0,419,18
4791,European brown hare syndrome virus,1984.0,20,7
4792,Escherichia phage SerU-LTIIb,1984.0,11,11
4793,Togaviridae,1984.0,760,36
4794,Rhabdoviridae,1984.0,1935,106
4795,Potato virus V,1984.0,3,1
4796,Herpesviridae,1984.0,9018,712
4797,Morbillivirus,1984.0,461,15
4798,Tick-borne encephalitis virus,1984.0,207,22
4799,Phenuiviridae,1984.0,720,22
4800,Avian orthoavulavirus 1,1984.0,188,21
4801,Alfamovirus,1984.0,20,12
4802,Potato virus X,1984.0,55,8
4803,Rinderpest morbillivirus,1984.0,375,15
4804,Mumps orthorubulavirus,1984.0,174,5
4805,Flaviviridae,1984.0,1214,130
4806,Avipoxvirus,1984.0,23,2
4807,Potato virus Y,1984.0,35,4
4808,Alfalfa mosaic virus,1984.0,20,12
4809,Alphaflexiviridae,1984.0,94,8
4810,Curiovirus,1984.0,57,14
4811,Torradovirus,1984.0,4,2
4812,New Jersey vesiculovirus,1984.0,16,11
4813,Alphavirus,1984.0,760,36
4814,Sobemovirus,1984.0,46,11
4815,Simian retrovirus 4,1984.0,1,1
4816,Betaretrovirus,1984.0,1,1
4817,Orbivirus,1984.0,2184,20
4818,Mamastrovirus,1984.0,9,1
4819,Sedlec orthobunyavirus,1984.0,7,7
4820,Solemoviridae,1984.0,73,11
4821,Mastrevirus,1984.0,41,7
4822,Bovine leukemia virus,1984.0,5,5
4823,Secoviridae,1984.0,59,2
4824,Orthoreovirus,1984.0,11,6
4825,Simian immunodeficiency virus,1984.0,29,20
4826,Enterovirus C,1984.0,106,65
4827,Mastadenovirus,1984.0,2835,216
4828,Bovine fever ephemerovirus,1984.0,82,3
4829,Hapavirus,1984.0,341,2
4830,Lagovirus,1984.0,20,7
4831,Rubivirus,1984.0,12,1
4832,Cytomegalovirus,1984.0,1328,335
4833,Leanyer orthobunyavirus,1984.0,15,3
4834,Leishmania RNA virus 1,1984.0,1,1
4835,Jatobal orthobunyavirus,1984.0,8,8
4836,Hepacivirus,1984.0,124,60
4837,Jamestown Canyon orthobunyavirus,1984.0,37,1
4838,Sripuvirus,1984.0,99,8
4839,Toscana phlebovirus,1984.0,19,4
4840,Rotavirus A,1984.0,2057,228
4841,Lentivirus,1984.0,718,220
4842,Japanese encephalitis virus,1984.0,183,6
4843,Maize streak virus,1984.0,33,3
4844,Matonaviridae,1984.0,12,1
4845,Deltaretrovirus,1984.0,5,5
4846,Rotavirus C,1984.0,17,9
4847,Pepper mild mottle virus,1984.0,10,8
4848,Orthopneumovirus,1984.0,968,189
4849,Geminiviridae,1984.0,79,7
4850,Bovine rhinitis A virus,1984.0,16,1
4851,Gordil phlebovirus,1984.0,8,8
4852,Seoul orthohantavirus,1984.0,13,13
4853,Leishmaniavirus,1984.0,2,1
4854,Helicoverpa armigera nucleopolyhedrovirus,1984.0,136,136
4855,Arenaviridae,1984.0,159,10
4856,Lymphocytic choriomeningitis mammarenavirus,1984.0,18,4
4857,Bovine alphaherpesvirus 5,1984.0,153,74
4858,Asfarviridae,1984.0,3378,239
4859,Rubivirus rubellae,1984.0,12,1
4860,Mammarenavirus,1984.0,157,9
4861,Salivirus A,1984.0,1,1
4862,Anticarsia gemmatalis multiple nucleopolyhedrovirus,1984.0,1913,646
4863,Dezidougou virus,1984.0,6,6
4864,Mamastrovirus 1,1984.0,6,1
4865,Goatpox virus,1984.0,242,6
4866,Lymphocryptovirus,1984.0,1037,2
4867,Sindbis virus,1984.0,89,2
4868,Kolmioviridae,1984.0,11,1
4869,Astroviridae,1984.0,18,6
4870,Bobomene virus,1984.0,1,1
4871,Paramyxoviridae,1984.0,1084,41
4872,Tomato mosaic virus,1984.0,6,4
4873,Orthoavulavirus,1984.0,200,21
4874,Enterovirus B,1984.0,165,13
4875,Enterovirus,1984.0,386,82
4876,Giardia-associated CRESS DNA virus 4,1984.0,2,2
4877,Giardia-associated CRESS DNA virus 3,1984.0,4,4
4878,Varicellovirus,1984.0,3480,226
4879,Giardia-associated CRESS DNA virus 2,1984.0,4,4
4880,Equid alphaherpesvirus 1,1984.0,409,75
4881,Ephemerovirus,1984.0,251,3
4882,Salivirus,1984.0,1,1
4883,Duck astrovirus GII.A,1984.0,1,1
4884,Mashua virus Y,1984.0,2,2
4885,Orthobunyavirus,1984.0,1532,46
4886,Bovine alphaherpesvirus 1,1984.0,904,2
4887,Hantaviridae,1984.0,71,13
4888,Lonchophylla thomasi simplexvirus 1,1984.0,1,1
4889,Macavirus,1984.0,437,140
4890,Totiviridae,1984.0,14,1
4891,Parvoviridae,1984.0,164,20
4892,Orthorubulavirus,1984.0,243,5
4893,Papaya ringspot virus,1984.0,2,1
4894,Vesiculovirus,1984.0,109,11
4895,Biratnagar virus,1984.0,9,9
4896,Dengue virus,1984.0,297,16
4897,Eastern equine encephalitis virus,1984.0,108,2
4898,Venezuelan equine encephalitis virus,1984.0,142,3
4899,Aphthovirus,1984.0,410,29
4900,Velvet tobacco mottle virus,1984.0,14,7
4901,Asfivirus,1984.0,3378,239
4902,Soybean yellow common mosaic virus,1984.0,8,4
4903,Saint Louis encephalitis virus,1984.0,49,9
4904,Deltavirus,1984.0,11,1
4905,Mayaro virus,1984.0,55,3
4906,Giardia-associated CRESS DNA virus 1,1984.0,8,8
4907,Hepacivirus C,1984.0,121,60
4908,Orthohepadnavirus,1984.0,797,301
4909,Hepatitis B virus,1984.0,797,301
4910,Madariaga virus,1984.0,44,1
4911,Orthohantavirus,1984.0,67,13
4912,Betaflexiviridae,1984.0,128,6
4913,Iris severe mosaic virus,1984.0,1,1
4914,Novirhabdovirus,1984.0,109,9
4915,Peribunyaviridae,1984.0,1616,46
4916,Bromoviridae,1984.0,59,12
4917,Entamoeba-associated CRESS DNA virus 3,1984.0,4,4
4918,Rotavirus,1984.0,2328,259
4919,Sheeppox virus,1984.0,160,4
4920,Ross River virus,1984.0,74,10
4921,Entamoeba-associated CRESS DNA virus 2,1984.0,2,2
4922,Norwalk virus,1984.0,326,7
4923,Entamoeba-associated CRESS DNA virus 4,1984.0,6,6
4924,Entamoeba-associated CRESS DNA virus 1,1984.0,6,6
4925,Lyssavirus,1984.0,428,59
4926,Itacaiunas curiovirus,1984.0,14,14
4927,Hepadnaviridae,1984.0,797,301
4928,Simplexvirus,1984.0,1490,2
4929,Orthomyxoviridae,1984.0,18320,862
4930,Orthonairovirus,1984.0,321,13
4931,Lettuce mosaic virus,1984.0,2,1
4932,Avian orthoavulavirus 1,1985.0,207,19
4933,African swine fever virus,1985.0,4032,654
4934,Spodoptera frugiperda multiple nucleopolyhedrovirus,1985.0,573,144
4935,Rhabdoviridae,1985.0,2116,181
4936,Vesiculovirus,1985.0,136,27
4937,All Species,1985.0,83930,5515
4938,Edwardsiella virus eiAU,1985.0,54,54
4939,Hepatovirus,1985.0,13,1
4940,Anadyr orthobunyavirus,1985.0,5,2
4941,Arenavirus,1985.0,5,5
4942,Human mastadenovirus D,1985.0,1250,45
4943,Alfamovirus,1985.0,24,4
4944,Morbillivirus,1985.0,489,28
4945,Aphthovirus,1985.0,424,14
4946,Ranavirus,1985.0,198,100
4947,Birnaviridae,1985.0,18,2
4948,Polerovirus,1985.0,13,6
4949,Lactococcus virus LP8511,1985.0,104,104
4950,Dengue virus,1985.0,320,23
4951,Picornaviridae,1985.0,911,53
4952,Tobacco mild green mosaic virus,1985.0,7,1
4953,Potyvirus,1985.0,92,8
4954,Hepadnaviridae,1985.0,847,50
4955,Avipoxvirus,1985.0,32,9
4956,Alphainfluenzavirus,1985.0,19122,1026
4957,Wad Medani virus,1985.0,82,12
4958,Bovine fever ephemerovirus,1985.0,83,1
4959,Torque teno sus virus 1b,1985.0,6,6
4960,Rhinovirus B,1985.0,3,1
4961,Betacoronavirus,1985.0,65,10
4962,Lagovirus,1985.0,22,2
4963,Rhinovirus A,1985.0,10,2
4964,Hepatovirus A,1985.0,13,1
4965,Rabies lyssavirus,1985.0,330,33
4966,Primate bocaparvovirus 1,1985.0,3,3
4967,Eiauvirus,1985.0,54,54
4968,Bovine alphaherpesvirus 2,1985.0,76,76
4969,Influenza B virus,1985.0,26,1
4970,Rhadinovirus,1985.0,149,2
4971,Protoparvovirus,1985.0,142,12
4972,Asfarviridae,1985.0,4032,654
4973,Influenza A virus,1985.0,19122,1026
4974,Israel turkey meningoencephalomyelitis virus,1985.0,2,1
4975,Ambidensovirus,1985.0,18,14
4976,Flaviviridae,1985.0,1287,73
4977,Volepox virus,1985.0,421,421
4978,Poxviridae,1985.0,9204,825
4979,Capripoxvirus,1985.0,893,3
4980,Black Mesa virus,1985.0,5,5
4981,Parvoviridae,1985.0,198,34
4982,Roseolovirus,1985.0,88,88
4983,Begomovirus,1985.0,39,7
4984,Zucchini yellow mosaic virus,1985.0,10,1
4985,Hantaviridae,1985.0,72,1
4986,Simplexvirus,1985.0,1567,77
4987,Lagos bat lyssavirus,1985.0,47,15
4988,Orthobunyavirus,1985.0,1573,41
4989,Enterovirus A,1985.0,102,10
4990,Novirhabdovirus,1985.0,120,11
4991,Alfalfa mosaic virus,1985.0,24,4
4992,Husavirus ACS178,1985.0,1,1
4993,Torque teno sus virus 1a,1985.0,4,4
4994,Anguillid perhabdovirus,1985.0,16,3
4995,Equid alphaherpesvirus 1,1985.0,560,151
4996,Koolpinyah ephemerovirus,1985.0,22,22
4997,Human bocavirus,1985.0,3,3
4998,Bocaparvovirus,1985.0,8,8
4999,Sindbis virus,1985.0,105,16
5000,Parapoxvirus,1985.0,23,5
5001,European brown hare syndrome virus,1985.0,22,2
5002,Barley virus G,1985.0,6,6
5003,Potato virus X,1985.0,60,5
5004,European bat 2 lyssavirus,1985.0,15,10
5005,Akabane orthobunyavirus,1985.0,147,2
5006,Lymphocryptovirus,1985.0,1121,84
5007,Carlavirus,1985.0,109,26
5008,Norwalk virus,1985.0,351,25
5009,Paramyxoviridae,1985.0,1137,53
5010,Reoviridae,1985.0,4644,121
5011,Metapneumovirus,1985.0,53,7
5012,Orthomyxoviridae,1985.0,19347,1027
5013,Varicellovirus,1985.0,3783,303
5014,Human mastadenovirus B,1985.0,463,50
5015,Potyviridae,1985.0,107,8
5016,Curionopolis curiovirus,1985.0,28,28
5017,Enterovirus B,1985.0,175,10
5018,Curiovirus,1985.0,85,28
5019,Indiana vesiculovirus,1985.0,10,5
5020,Metaavulavirus,1985.0,99,3
5021,Western equine encephalitis virus,1985.0,51,2
5022,Peribunyaviridae,1985.0,1657,41
5023,Macaca arctoides gammaherpesvirus 1,1985.0,84,84
5024,Salmonid novirhabdovirus,1985.0,14,1
5025,Orthoavulavirus,1985.0,219,19
5026,Kolente ledantevirus,1985.0,10,10
5027,Husavirus,1985.0,3,2
5028,Bluetongue virus,1985.0,641,27
5029,Parechovirus,1985.0,25,3
5030,Carnivore protoparvovirus 1,1985.0,136,12
5031,Retroviridae,1985.0,1360,590
5032,Papiine alphaherpesvirus 2,1985.0,75,1
5033,Norovirus,1985.0,361,25
5034,Pneumoviridae,1985.0,1195,181
5035,Gamboa orthobunyavirus,1985.0,36,8
5036,Tobamovirus,1985.0,33,7
5037,Siphoviridae,1985.0,2631,158
5038,Potato virus V,1985.0,4,1
5039,Pestivirus,1985.0,24,2
5040,Mastadenovirus,1985.0,2970,135
5041,Trichovirus,1985.0,8,8
5042,Husavirus ACS200,1985.0,1,1
5043,Artashat orthonairovirus,1985.0,10,6
5044,Asfivirus,1985.0,4032,654
5045,Whitewater Arroyo mammarenavirus,1985.0,1,1
5046,Anelloviridae,1985.0,284,10
5047,Tick-borne encephalitis virus,1985.0,220,13
5048,Enterovirus,1985.0,421,35
5049,Respirovirus,1985.0,25,3
5050,Coronaviridae,1985.0,566,47
5051,Orthohepadnavirus,1985.0,847,50
5052,Human gammaherpesvirus 8,1985.0,54,2
5053,Uriurana phlebovirus,1985.0,8,8
5054,Mycoplasma phage sp.,1985.0,109,109
5055,Parechovirus A,1985.0,13,3
5056,Hepatitis B virus,1985.0,847,50
5057,Merino Walk mammarenavirus,1985.0,9,9
5058,Anticarsia gemmatalis multiple nucleopolyhedrovirus,1985.0,2074,161
5059,Tobacco yellow dwarf virus,1985.0,4,4
5060,Potato virus Y,1985.0,36,1
5061,Infectious pancreatic necrosis virus,1985.0,6,2
5062,Mammarenavirus,1985.0,167,10
5063,European bat 1 lyssavirus,1985.0,51,21
5064,Primate bocaparvovirus 2,1985.0,2,2
5065,Human rhinovirus sp.,1985.0,2,1
5066,Gammacoronavirus,1985.0,401,31
5067,Adenoviridae,1985.0,3257,135
5068,Herpesviridae,1985.0,9572,554
5069,Bromoviridae,1985.0,63,4
5070,Human orthopneumovirus,1985.0,1135,174
5071,Chikungunya virus,1985.0,103,6
5072,Geminiviridae,1985.0,90,11
5073,California encephalitis orthobunyavirus,1985.0,33,14
5074,Cherry mottle leaf virus,1985.0,8,8
5075,Orthopneumovirus,1985.0,1142,174
5076,Avian coronavirus,1985.0,401,31
5077,Flavivirus,1985.0,1117,50
5078,Thailand orthohantavirus,1985.0,1,1
5079,Human mastadenovirus E,1985.0,443,38
5080,Epizootic hemorrhagic disease virus,1985.0,172,3
5081,Pepper mild mottle virus,1985.0,12,2
5082,Iridoviridae,1985.0,199,100
5083,Monkeypox virus,1985.0,1452,386
5084,Hepacivirus C,1985.0,128,7
5085,Jatropha mosaic virus,1985.0,7,7
5086,Porcine epidemic diarrhea virus,1985.0,30,6
5087,Ledantevirus,1985.0,107,10
5088,Bovine respirovirus 3,1985.0,3,3
5089,Human metapneumovirus,1985.0,53,7
5090,Malpais Spring vesiculovirus,1985.0,12,12
5091,Rift Valley fever phlebovirus,1985.0,308,21
5092,Bovine papular stomatitis virus,1985.0,4,1
5093,Betaflexiviridae,1985.0,162,34
5094,Alphavirus,1985.0,784,24
5095,Perhabdovirus,1985.0,26,3
5096,Phlebovirus,1985.0,634,31
5097,Nairoviridae,1985.0,349,28
5098,Avipoxvirus isolate Maryland,1985.0,4,2
5099,Phenuiviridae,1985.0,751,31
5100,Epizootic haematopoietic necrosis virus,1985.0,100,100
5101,Orthonairovirus,1985.0,349,28
5102,Avipoxvirus isolate Wisconsin,1985.0,4,4
5103,Betacoronavirus 1,1985.0,46,10
5104,Potato virus M,1985.0,12,6
5105,Omdraaivlei virus,1985.0,2,2
5106,Hepacivirus,1985.0,131,7
5107,Rotavirus,1985.0,2387,59
5108,Cucumber green mottle mosaic virus,1985.0,8,4
5109,Betainfluenzavirus,1985.0,26,1
5110,Caliciviridae,1985.0,446,27
5111,Ephemerovirus,1985.0,274,23
5112,Lentivirus,1985.0,1308,590
5113,Human immunodeficiency virus 2,1985.0,9,6
5114,Lepidopteran ambidensovirus 1,1985.0,18,14
5115,Baculoviridae,1985.0,6795,305
5116,Rinderpest morbillivirus,1985.0,403,28
5117,Alphaflexiviridae,1985.0,99,5
5118,Rotavirus C,1985.0,21,4
5119,Changuinola virus,1985.0,212,20
5120,Pepper veinal mottle virus,1985.0,1,1
5121,Human mastadenovirus C,1985.0,80,2
5122,Iotatorquevirus,1985.0,10,10
5123,Toscana phlebovirus,1985.0,21,2
5124,Orthopoxvirus,1985.0,4887,808
5125,Skunavirus,1985.0,104,104
5126,Potato virus A,1985.0,7,4
5127,Sheeppox virus,1985.0,163,3
5128,Aquabirnavirus,1985.0,6,2
5129,Japanese encephalitis virus,1985.0,195,12
5130,Togaviridae,1985.0,784,24
5131,Rotavirus A,1985.0,2112,55
5132,Avipoxvirus isolate Montana,1985.0,2,2
5133,Alphacoronavirus,1985.0,100,6
5134,Human picobirnavirus,1985.0,1,1
5135,Crimean-Congo hemorrhagic fever orthonairovirus,1985.0,113,18
5136,Virgaviridae,1985.0,61,7
5137,Orf virus,1985.0,18,4
5138,Potexvirus,1985.0,95,5
5139,Picobirnavirus,1985.0,1,1
5140,Orthopoxvirus VPXV_CA85,1985.0,1,1
5141,Caulimoviridae,1985.0,59,6
5142,Caulimovirus,1985.0,59,6
5143,Picobirnaviridae,1985.0,1,1
5144,Canid alphaherpesvirus 1,1985.0,152,152
5145,Fowlpox virus,1985.0,3,1
5146,Human immunodeficiency virus 1,1985.0,1249,584
5147,Potato virus S,1985.0,85,20
5148,Pegivirus,1985.0,14,14
5149,Solemoviridae,1985.0,79,6
5150,Mastrevirus,1985.0,45,4
5151,Avian metaavulavirus 2,1985.0,32,3
5152,New Jersey vesiculovirus,1985.0,26,10
5153,Yellow fever virus,1985.0,36,1
5154,Pestivirus D,1985.0,3,2
5155,Qalyub orthonairovirus,1985.0,13,4
5156,Arenaviridae,1985.0,176,17
5157,Enterovirus C,1985.0,116,10
5158,Foot-and-mouth disease virus,1985.0,407,14
5159,Lyssavirus,1985.0,507,79
5160,Pegivirus A,1985.0,14,14
5161,Rhinovirus C,1985.0,9,1
5162,Human betaherpesvirus 6A,1985.0,88,88
5163,Orbivirus,1985.0,2246,62
5164,Cauliflower mosaic virus,1985.0,27,6
5165,Orthohantavirus,1985.0,68,1
5166,Alphabaculovirus,1985.0,5945,305
5167,Fort Sherman orthobunyavirus,1985.0,19,15
5168,Piscine novirhabdovirus,1985.0,106,10
5169,Potato virus A,1986.0,9,2
5170,Mokola lyssavirus,1986.0,42,2
5171,Polyomaviridae,1986.0,25,7
5172,Cassava green mottle virus,1986.0,2,2
5173,Tymovirus,1986.0,18,3
5174,Secoviridae,1986.0,61,2
5175,Ilarvirus,1986.0,34,15
5176,Carlavirus,1986.0,110,1
5177,Cat Que orthobunyavirus,1986.0,6,3
5178,Slow bee paralysis virus,1986.0,3,3
5179,Bluetongue virus,1986.0,665,24
5180,Morreton vesiculovirus,1986.0,10,10
5181,Iflavirus,1986.0,7,4
5182,Iflaviridae,1986.0,7,4
5183,Aguacate phlebovirus,1986.0,4,4
5184,Maize streak virus,1986.0,39,6
5185,Uukuvirus,1986.0,77,4
5186,Puumala orthohantavirus,1986.0,7,7
5187,Rabies lyssavirus,1986.0,475,145
5188,Piscine novirhabdovirus,1986.0,132,26
5189,Protoparvovirus,1986.0,159,17
5190,Pontusvirus,1986.0,201,201
5191,Human coronavirus 229E,1986.0,6,1
5192,Orthonairovirus,1986.0,358,9
5193,Potyviridae,1986.0,115,8
5194,Cauliflower mosaic virus,1986.0,28,1
5195,African horse sickness virus,1986.0,506,11
5196,Feline rotavirus,1986.0,31,9
5197,Kunsagivirus,1986.0,2,2
5198,Kunsagivirus C,1986.0,2,2
5199,Lentivirus,1986.0,1876,568
5200,Avipoxvirus isolate Utah,1986.0,2,2
5201,Orthomyxoviridae,1986.0,20574,1227
5202,Potato yellowing virus,1986.0,15,15
5203,Felixounavirus,1986.0,280,280
5204,Tymoviridae,1986.0,18,3
5205,Murray Valley encephalitis virus,1986.0,14,1
5206,Reoviridae,1986.0,4933,289
5207,Potato virus S,1986.0,86,1
5208,Lagovirus,1986.0,23,1
5209,Ephemerovirus,1986.0,276,2
5210,Avibirnavirus,1986.0,14,2
5211,Paramyxoviridae,1986.0,1178,41
5212,Adeno-associated virus,1986.0,14,7
5213,Human bocavirus,1986.0,5,2
5214,Orthohepadnavirus,1986.0,883,36
5215,Baculoviridae,1986.0,7367,572
5216,Bocaparvovirus,1986.0,10,2
5217,Equid alphaherpesvirus 1,1986.0,562,2
5218,Human polyomavirus 1,1986.0,7,7
5219,Caulimoviridae,1986.0,60,1
5220,Avipoxvirus isolate Illinois,1986.0,2,2
5221,Epizootic haematopoietic necrosis virus,1986.0,399,299
5222,Carp sprivivirus,1986.0,5,1
5223,Avihepatovirus A,1986.0,1,1
5224,Orthohepevirus B,1986.0,3,3
5225,Flaviviridae,1986.0,1637,350
5226,Caulimovirus,1986.0,60,1
5227,Betabaculovirus,1986.0,1109,261
5228,Turkey siadenovirus A,1986.0,1,1
5229,Porcine epidemic diarrhea virus,1986.0,36,6
