,Species,Region,Count,Geographical_Region
14331,Grapevine leafroll-associated virus Carn,North America,7,
14332,Grapevine line pattern virus,Europa,4,
14333,Grapevine line pattern virus,North America,3,
14334,Grapevine nepovirus A,Europa,2,
14335,Grapevine partitivirus,Asia,3,
14336,Grapevine partitivirus,North America,5,
14337,Grapevine polerovirus 1,Asia,14,
14338,Grapevine polerovirus 1,Europa,7,
14339,Grapevine red blotch virus,Asia,12,
14340,Grapevine red blotch virus,North America,845,
14341,Grapevine red blotch virus,South America,2,
14342,Grapevine red globe-like virus,Europa,1,
14343,Grapevine rubodvirus 1,Asia,3,
14344,Grapevine rubodvirus 2,South America,3,
14345,Grapevine rupestris stem pitting-associated virus,Africa,598,
14346,Grapevine rupestris stem pitting-associated virus,Asia,198,
14347,Grapevine rupestris stem pitting-associated virus,Europa,904,
14348,Grapevine rupestris stem pitting-associated virus,North America,389,
14349,Grapevine rupestris stem pitting-associated virus,Oceans and Seas,11,
14350,Grapevine rupestris stem pitting-associated virus,South America,86,
14351,Grapevine rupestris vein feathering virus,Asia,38,
14352,Grapevine rupestris vein feathering virus,Europa,54,
14353,Grapevine rupestris vein feathering virus,North America,11,
14354,Grapevine rupestris vein feathering virus,Oceans and Seas,17,
14355,Grapevine rupestris vein feathering virus,South America,3,
14356,Grapevine satellite virus,Asia,2,
14357,Grapevine satellite virus,Europa,1,
14358,Grapevine satellite virus,North America,4,
14359,Grapevine toga-like virus,Europa,1,
14360,Grapevine vein clearing virus,North America,194,
14361,Grapevine vein clearing virus,South America,2,
14362,Grapevine virga-like virus,Europa,2,
14363,Grapevine virus 101-14.N.23.9.1/South Africa/2009,Africa,1,
14364,Grapevine virus 99B/SdP2/South Africa/2008,Africa,1,
14365,Grapevine virus A,Africa,63,
14366,Grapevine virus A,Asia,211,
14367,Grapevine virus A,Europa,342,
14368,Grapevine virus A,North America,210,
14369,Grapevine virus A,Oceans and Seas,27,
14370,Grapevine virus A,South America,20,
14371,Grapevine virus B,Africa,44,
14372,Grapevine virus B,Asia,59,
14373,Grapevine virus B,Europa,254,
14374,Grapevine virus B,North America,23,
14375,Grapevine virus B,Oceans and Seas,19,
14376,Grapevine virus B,South America,15,
14377,Grapevine virus D,Africa,18,
14378,Grapevine virus D,Asia,6,
14379,Grapevine virus D,Europa,7,
14380,Grapevine virus D,South America,8,
14381,Grapevine virus E,Africa,8,
14382,Grapevine virus E,Asia,60,
14383,Grapevine virus E,Europa,28,
14384,Grapevine virus E,North America,57,
14385,Grapevine virus E,South America,6,
14386,Grapevine virus F,Africa,16,
14387,Grapevine virus F,Asia,29,
14388,Grapevine virus F,Europa,118,
14389,Grapevine virus F,North America,23,
14390,Grapevine virus F,South America,1,
14391,Grapevine virus G,Europa,25,
14392,Grapevine virus G,North America,8,
14393,Grapevine virus G,Oceans and Seas,20,
14394,Grapevine virus H,Africa,4,
14395,Grapevine virus H,Asia,10,
14396,Grapevine virus H,Europa,63,
14397,Grapevine virus H,North America,30,
14398,Grapevine virus I,Europa,26,
14399,Grapevine virus I,North America,32,
14400,Grapevine virus I,Oceans and Seas,10,
14401,Grapevine virus J,Asia,10,
14402,Grapevine virus K,Europa,15,
14403,Grapevine virus L,Africa,15,
14404,Grapevine virus L,Asia,9,
14405,Grapevine virus L,Europa,16,
14406,Grapevine virus L,North America,60,
14407,Grapevine virus L,Oceans and Seas,5,
14408,Grapevine virus M,North America,5,
14409,Grapevine virus Q,North America,5,
14410,Grapevine virus S,North America,2,
14411,Grapevine virus T,Asia,21,
14412,Grapevine virus T,Europa,144,
14413,Grapevine virus T,North America,5,
14414,Grapevine-associated RNA virus 1,Europa,2,
14415,Grapevine-associated RNA virus 10,Europa,1,
14416,Grapevine-associated RNA virus 11,Europa,1,
14417,Grapevine-associated RNA virus 12,Europa,2,
14418,Grapevine-associated RNA virus 2,Europa,1,
14419,Grapevine-associated RNA virus 3,Europa,1,
14420,Grapevine-associated RNA virus 4,Europa,1,
14421,Grapevine-associated RNA virus 5,Europa,1,
14422,Grapevine-associated RNA virus 6,Europa,1,
14423,Grapevine-associated RNA virus 7,Europa,1,
14424,Grapevine-associated RNA virus 8,Europa,1,
14425,Grapevine-associated RNA virus 9,Europa,1,
14426,Grapevine-associated botourmia-like virus 1,Europa,1,
14427,Grapevine-associated botourmia-like virus 2,Europa,1,
14428,Grapevine-associated botourmia-like virus 3,Europa,1,
14429,Grapevine-associated botourmia-like virus 4,Europa,1,
14430,Grapevine-associated botourmia-like virus 5,Europa,1,
14431,Grapevine-associated botourmia-like virus 6,Europa,1,
14432,Grapevine-associated botourmia-like virus 7,Europa,1,
14433,Grapevine-associated botourmia-like virus 8,Europa,1,
14434,Grapevine-associated botourmia-like virus 9,Europa,1,
14435,Grapevine-associated botybirnavirus 1,Europa,2,
14436,Grapevine-associated bunya-like virus 1,Europa,2,
14437,Grapevine-associated bunya-like virus 2,Europa,1,
14438,Grapevine-associated caulimovirus,North America,2,
14439,Grapevine-associated cryspo-like virus 1,Europa,1,
14440,Grapevine-associated endornavirus 1,Europa,1,
14441,Grapevine-associated fusarivirus 1,Europa,2,
14442,Grapevine-associated jingchu-like virus 1,Europa,1,
14443,Grapevine-associated levi-like virus 1,Europa,3,
14444,Grapevine-associated levi-like virus 10,Europa,3,
14445,Grapevine-associated levi-like virus 11,Europa,1,
14446,Grapevine-associated levi-like virus 2,Europa,1,
14447,Grapevine-associated levi-like virus 3,Europa,1,
14448,Grapevine-associated levi-like virus 4,Europa,1,
14449,Grapevine-associated levi-like virus 5,Europa,1,
14450,Grapevine-associated levi-like virus 6,Europa,3,
14451,Grapevine-associated levi-like virus 7,Europa,3,
14452,Grapevine-associated levi-like virus 8,Europa,1,
14453,Grapevine-associated levi-like virus 9,Europa,1,
14454,Grapevine-associated marafivirus,Asia,22,
14455,Grapevine-associated mitovirus 1,Europa,1,
14456,Grapevine-associated mitovirus 10,Europa,1,
14457,Grapevine-associated mitovirus 11,Europa,1,
14458,Grapevine-associated mitovirus 12,Europa,1,
14459,Grapevine-associated mitovirus 13,Europa,1,
14460,Grapevine-associated mitovirus 14,Europa,1,
14461,Grapevine-associated mitovirus 15,Europa,1,
14462,Grapevine-associated mitovirus 16,Europa,1,
14463,Grapevine-associated mitovirus 17,Europa,1,
14464,Grapevine-associated mitovirus 18,Europa,1,
14465,Grapevine-associated mitovirus 19,Europa,1,
14466,Grapevine-associated mitovirus 2,Europa,1,
14467,Grapevine-associated mitovirus 20,Europa,1,
14468,Grapevine-associated mitovirus 21,Europa,1,
14469,Grapevine-associated mitovirus 22,Europa,1,
14470,Grapevine-associated mitovirus 3,Europa,1,
14471,Grapevine-associated mitovirus 4,Europa,1,
14472,Grapevine-associated mitovirus 5,Europa,1,
14473,Grapevine-associated mitovirus 6,Europa,1,
14474,Grapevine-associated mitovirus 7,Europa,1,
14475,Grapevine-associated mitovirus 8,Europa,1,
14476,Grapevine-associated mitovirus 9,Europa,1,
14477,Grapevine-associated mononega-like virus 1,Europa,1,
14478,Grapevine-associated mononega-like virus 2,Europa,1,
14479,Grapevine-associated mononega-like virus 3,Europa,1,
14480,Grapevine-associated mononega-like virus 4,Europa,1,
14481,Grapevine-associated mononega-like virus 5,Europa,1,
14482,Grapevine-associated mononega-like virus 6,Europa,1,
14483,Grapevine-associated mononega-like virus 7,Europa,1,
14484,Grapevine-associated mycobunya-like virus 1,Europa,1,
14485,Grapevine-associated mycobunya-like virus 2,Europa,1,
14486,Grapevine-associated mycobunya-like virus 3,Europa,1,
14487,Grapevine-associated mycobunya-like virus 4,Europa,1,
14488,Grapevine-associated mymona-like virus 1,Europa,1,
14489,Grapevine-associated mymona-like virus 2,Europa,1,
14490,Grapevine-associated nanovirus,North America,1,
14491,Grapevine-associated narna-like virus 1,Europa,1,
14492,Grapevine-associated narna-like virus 10,Europa,1,
14493,Grapevine-associated narna-like virus 11,Europa,1,
14494,Grapevine-associated narna-like virus 12,Europa,1,
14495,Grapevine-associated narna-like virus 13,Europa,1,
14496,Grapevine-associated narna-like virus 14,Europa,1,
14497,Grapevine-associated narna-like virus 15,Europa,1,
14498,Grapevine-associated narna-like virus 2,Europa,1,
14499,Grapevine-associated narna-like virus 3,Europa,1,
14500,Grapevine-associated narna-like virus 4,Europa,1,
14501,Grapevine-associated narna-like virus 5,Europa,1,
14502,Grapevine-associated narna-like virus 6,Europa,1,
14503,Grapevine-associated narna-like virus 7,Europa,1,
14504,Grapevine-associated narna-like virus 8,Europa,1,
14505,Grapevine-associated narna-like virus 9,Europa,1,
14506,Grapevine-associated negative single-stranded RNA virus 1,Europa,3,
14507,Grapevine-associated negative single-stranded RNA virus 2,Europa,1,
14508,Grapevine-associated negative single-stranded RNA virus 3,Europa,1,
14509,Grapevine-associated negative single-stranded RNA virus 4,Europa,1,
14510,Grapevine-associated negative single-stranded RNA virus 5,Europa,1,
14511,Grapevine-associated noda-like virus 1,Europa,1,
14512,Grapevine-associated noda-like virus 2,Europa,1,
14513,Grapevine-associated ourmia-like virus 5,Europa,1,
14514,Grapevine-associated partitivirus 1,Europa,2,
14515,Grapevine-associated partitivirus 2,Europa,1,
14516,Grapevine-associated partitivirus 3,Europa,1,
14517,Grapevine-associated partitivirus 4,Europa,1,
14518,Grapevine-associated phenui-like virus 1,Europa,3,
14519,Grapevine-associated poty-like virus 1,Europa,2,
14520,Grapevine-associated serpento-like virus 1,Europa,1,
14521,Grapevine-associated sobemo-like virus 1,Europa,3,
14522,Grapevine-associated tombus-like virus 1,Europa,1,
14523,Grapevine-associated tombus-like virus 2,Europa,1,
14524,Grapevine-associated tombus-like virus 3,Europa,1,
14525,Grapevine-associated tombus-like virus 4,Europa,2,
14526,Grapevine-associated tymo-like virus 1,Europa,1,
14527,Grapevine-associated tymo-like virus 2,Europa,1,
14528,Grapevine-associated tymo-like virus 3,Europa,1,
14529,Grapevine-associated virga-like virus 1,Europa,1,
14530,Grapevine-associated virga-like virus 2,Europa,1,
14531,Grapevine-associated virga-like virus 3,Europa,1,
14532,Grapevine-associated virga-like virus 4,Europa,1,
14533,Gray Lodge hapavirus,North America,19,
14534,Gray-bellied night monkey adenovirus,Europa,1,
14535,Great Island virus,Asia,23,
14536,Great Island virus,Europa,163,
14537,Great Island virus,North America,22,
14538,Great tit siadenovirus A,Europa,21,
14539,Great tit siadenovirus B,Europa,1,
14540,Greater horseshoe bat adenovirus HUN/2009,Europa,1,
14541,Gredihovirus agradaptatum,North America,4,
14542,Gredihovirus agrenecus,North America,3,
14543,Gredihovirus agricola,North America,4,
14544,Gredihovirus agrihabitans,North America,3,
14545,Gredihovirus agrivicinum,North America,3,
14546,Gredihovirus agrivivens,North America,4,
14547,Gredihovirus arvadaptatum,North America,3,
14548,Gredihovirus arvenecus,North America,5,
14549,Gredihovirus arvicola,North America,4,
14550,Gredihovirus arvihabitans,North America,4,
14551,Gredihovirus arvivicinum,North America,4,
14552,Gredihovirus arvivivens,North America,3,
14553,Gredihovirus asienecus,Asia,3,
14554,Gredihovirus choradaptatum,North America,4,
14555,Gredihovirus chorenecus,North America,3,
14556,Gredihovirus chorocola,North America,4,
14557,Gredihovirus chorohabitans,North America,4,
14558,Gredihovirus chorovicinum,North America,4,
14559,Gredihovirus chorovivens,North America,3,
14560,Gredihovirus chthonadaptatum,North America,5,
14561,Gredihovirus chthonenecus,North America,4,
14562,Gredihovirus chthonocola,North America,3,
14563,Gredihovirus chthonohabitans,North America,4,
14564,Gredihovirus chthonovicinum,North America,3,
14565,Gredihovirus chthonovivens,North America,3,
14566,Gredihovirus edaphadaptatum,North America,3,
14567,Gredihovirus edaphenecus,North America,5,
14568,Gredihovirus edaphocola,North America,4,
14569,Gredihovirus edaphohabitans,North America,3,
14570,Gredihovirus edaphovicinum,North America,4,
14571,Gredihovirus edaphovivens,North America,4,
14572,Gredihovirus geoadaptatum,North America,5,
14573,Gredihovirus geocola,North America,5,
14574,Gredihovirus geoenecus,North America,5,
14575,Gredihovirus geohabitans,North America,4,
14576,Gredihovirus geovicinum,North America,3,
14577,Gredihovirus geovivens,North America,4,
14578,Gredihovirus humadaptatum,North America,3,
14579,Gredihovirus humenecus,North America,3,
14580,Gredihovirus humicola,North America,3,
14581,Gredihovirus humihabitans,North America,4,
14582,Gredihovirus humivicinum,North America,6,
14583,Gredihovirus humivivens,North America,3,
14584,Gredihovirus neoagrenecus,North America,6,
14585,Gredihovirus neoagricola,North America,3,
14586,Gredihovirus neoagrihabitans,North America,4,
14587,Gredihovirus neoagrivicinum,North America,4,
14588,Gredihovirus neoagrivivens,North America,4,
14589,Gredihovirus neochoradaptatum,North America,5,
14590,Gredihovirus neochorenecus,North America,3,
14591,Gredihovirus neochorocola,North America,3,
14592,Gredihovirus neochorohabitans,North America,3,
14593,Gredihovirus neochorovicinum,North America,5,
14594,Gredihovirus neochorovivens,North America,3,
14595,Gredihovirus neohumadaptatum,North America,4,
14596,Gredihovirus neohumenecus,North America,6,
14597,Gredihovirus neohumicola,North America,4,
14598,Gredihovirus neohumihabitans,North America,5,
14599,Gredihovirus neohumivicinum,North America,5,
14600,Gredihovirus neohumivivens,North America,5,
14601,Gredihovirus neotellurenecus,North America,3,
14602,Gredihovirus neotelluricola,North America,4,
14603,Gredihovirus neotellurihabitans,North America,5,
14604,Gredihovirus neotellurivicinum,North America,4,
14605,Gredihovirus neotellurivivens,North America,3,
14606,Gredihovirus neoterradaptatum,North America,5,
14607,Gredihovirus neoterrenecus,North America,3,
14608,Gredihovirus neoterricola,North America,4,
14609,Gredihovirus neoterrihabitans,North America,3,
14610,Gredihovirus neoterrivicinum,North America,5,
14611,Gredihovirus neoterrivivens,North America,4,
14612,Gredihovirus paludicola,North America,3,
14613,Gredihovirus pedadaptatum,North America,6,
14614,Gredihovirus pedenecus,North America,3,
14615,Gredihovirus pedocola,North America,4,
14616,Gredihovirus pedohabitans,North America,3,
14617,Gredihovirus pedovicinum,North America,3,
14618,Gredihovirus pedovivens,North America,3,
14619,Gredihovirus soladaptatum,North America,3,
14620,Gredihovirus solenecus,North America,3,
14621,Gredihovirus solicola,North America,3,
14622,Gredihovirus solihabitans,North America,4,
14623,Gredihovirus solivicinum,North America,3,
14624,Gredihovirus solivivens,North America,3,
14625,Gredihovirus telluradaptatum,North America,3,
14626,Gredihovirus tellurenecus,North America,5,
14627,Gredihovirus telluricola,North America,3,
14628,Gredihovirus tellurihabitans,North America,4,
14629,Gredihovirus tellurivicinum,North America,3,
14630,Gredihovirus tellurivivens,North America,3,
14631,Gredihovirus terradaptatum,North America,4,
14632,Gredihovirus terrenecus,North America,4,
14633,Gredihovirus terricola,North America,3,
14634,Gredihovirus terrihabitans,North America,4,
14635,Gredihovirus terrivicinum,North America,3,
14636,Gredihovirus terrivivens,North America,4,
14637,Greek goat encephalitis virus,Europa,3,
14638,Green Sichuan pepper enamovirus,Asia,75,
14639,Green Sichuan pepper idaeovirus,Asia,43,
14640,Green Sichuan pepper ilarvirus,Asia,12,
14641,Green Sichuan pepper nepovirus,Asia,24,
14642,Green Sichuan pepper nepovirus satellite,Asia,24,
14643,Green Sichuan pepper nucleorhabdovirus,Asia,6,
14644,Green Sichuan pepper vein clearing-associated virus,Asia,6,
14645,Gregson virus,Oceans and Seas,1,
14646,Gremmeniella abietina RNA virus 6,Europa,23,
14647,Gremmeniella abietina RNA virus L2,Europa,4,
14648,Gremmeniella abietina RNA virus MS1,Asia,4,
14649,Gremmeniella abietina RNA virus MS1,Europa,86,
14650,Gremmeniella abietina RNA virus MS1,North America,10,
14651,Gremmeniella abietina betaendornavirus 1,Europa,3,
14652,Gremmeniella abietina mitochondrial RNA virus S10,Europa,1,
14653,Gremmeniella abietina mitochondrial RNA virus S11,Europa,1,
14654,Gremmeniella abietina mitochondrial RNA virus S12,Europa,1,
14655,Gremmeniella abietina mitochondrial RNA virus S13,Europa,1,
14656,Gremmeniella abietina mitochondrial RNA virus S14,Europa,1,
14657,Gremmeniella abietina mitochondrial RNA virus S15,Europa,1,
14658,Gremmeniella abietina mitochondrial RNA virus S16,Europa,1,
14659,Gremmeniella abietina mitochondrial RNA virus S17,Europa,1,
14660,Gremmeniella abietina mitochondrial RNA virus S18,Europa,1,
14661,Gremmeniella abietina mitochondrial RNA virus S19,Europa,1,
14662,Gremmeniella abietina mitochondrial RNA virus S20,Europa,1,
14663,Gremmeniella abietina mitochondrial RNA virus S21,Europa,1,
14664,Gremmeniella abietina mitochondrial RNA virus S22,Europa,1,
14665,Gremmeniella abietina mitochondrial RNA virus S23,Europa,1,
14666,Gremmeniella abietina mitochondrial RNA virus S24,Europa,1,
14667,Gremmeniella abietina mitochondrial RNA virus S25,Europa,1,
14668,Gremmeniella abietina mitochondrial RNA virus S26,Europa,1,
14669,Gremmeniella abietina mitochondrial RNA virus S27,Europa,1,
14670,Gremmeniella abietina mitochondrial RNA virus S28,Europa,1,
14671,Gremmeniella abietina mitochondrial RNA virus S29,Europa,1,
14672,Gremmeniella abietina mitochondrial RNA virus S3,Europa,1,
14673,Gremmeniella abietina mitochondrial RNA virus S30,Europa,1,
14674,Gremmeniella abietina mitochondrial RNA virus S31,Europa,1,
14675,Gremmeniella abietina mitochondrial RNA virus S32,Europa,1,
14676,Gremmeniella abietina mitochondrial RNA virus S4,Europa,1,
14677,Gremmeniella abietina mitochondrial RNA virus S5,Europa,1,
14678,Gremmeniella abietina mitochondrial RNA virus S6,Europa,1,
14679,Gremmeniella abietina mitochondrial RNA virus S7,Europa,1,
14680,Gremmeniella abietina mitochondrial RNA virus S8,Europa,1,
14681,Gremmeniella abietina mitochondrial RNA virus S9,Europa,1,
14682,Gremmeniella abietina non-host-specific mitochondrial RNA virus S1,Europa,1,
14683,Gremmeniella fusarivirus 1,Europa,1,
14684,Gremmeniella mitovirus,Europa,27,
14685,Grenada mosquito rhabdovirus 1,Asia,5,
14686,Grenada mosquito rhabdovirus 1,North America,5,
14687,Grenadier adomavirus,Europa,15,
14688,Grendvuvirus asiocola,North America,4,
14689,Grey long-eared bat adenovirus Kupa/2010,Europa,1,
14690,Grey sealpox virus,Asia,1,
14691,Grey sealpox virus,Europa,4,
14692,Grey sealpox virus,North America,46,
14693,Grey squirrel astrovirus,Europa,3,
14694,Grey squirrel kobuvirus,Europa,1,
14695,Grey teal calicivirus,Oceans and Seas,2,
14696,Grey teal chaphamaparvovirus,Oceans and Seas,5,
14697,Grey teal gyrovirus,Oceans and Seas,3,
14698,Grey teal parvovirus,Oceans and Seas,2,
14699,Grey teal picobirnavirus X,Oceans and Seas,3,
14700,Grey teal picobirnavirus Z,Oceans and Seas,2,
14701,Grey teal picobirnavirus y,Oceans and Seas,3,
14702,Griffin dicistrovirus,North America,2,
14703,Griffon vulture papillomavirus,Europa,1,
14704,Grifola frondosa partitivirus 1,Asia,2,
14705,Grom virus,Europa,1,
14706,Grosmannia clavigera partitivirus 1,North America,2,
14707,Grotenhout norwavirus,Europa,2,
14708,Groundnut bud necrosis orthotospovirus,Asia,681,
14709,Groundnut chlorotic fan spot orthotospovirus,Asia,6,
14710,Groundnut ringspot and Tomato chlorotic spot virus reassortant,North America,10,
14711,Groundnut ringspot and Tomato chlorotic spot virus reassortant,South America,4,
14712,Groundnut ringspot orthotospovirus,Africa,17,
14713,Groundnut ringspot orthotospovirus,North America,35,
14714,Groundnut ringspot orthotospovirus,South America,114,
14715,Groundnut rosette assistor virus,Africa,71,
14716,Groundnut rosette virus,Africa,78,
14717,Groundnut yellow spot orthotospovirus,Asia,5,
14718,Grouper betanodavirus,Oceans and Seas,2,
14719,Grove virus,Oceans and Seas,1,
14720,Gruetzi mitenand virus,Europa,1,
14721,Gruhelivirus A,Asia,1,
14722,Gruiform aveparvovirus 1,Asia,16,
14723,Grus japonensis CRESS-DNA-virus sp.,Asia,35,
14724,Grus japonensis Chaphamaparvovirus,Asia,5,
14725,Grus japonensis Circoviridae sp.,Asia,5,
14726,Grus japonensis Genomoviridae sp.,Asia,10,
14727,Grus japonensis ambidensovirus,Asia,5,
14728,Grus japonensis parvo-like hybrid virus,Asia,17,
14729,Grus japonensis parvoviridae sp.,Asia,17,
14730,Grus monacha CRESS-DNA-virus sp.,Asia,1,
14731,Grus monacha Genomoviridae sp.,Asia,6,
14732,Grusopivirus A,Asia,1,
14733,Grusopivirus B,Asia,1,
14734,Grusopivirus C,Asia,1,
14735,Grylloblattodean chu-related virus OKIAV120,North America,1,
14736,Guadeloupe Culex rhabdovirus,North America,40,
14737,Guadeloupe Culex tymo-like virus,North America,11,
14738,Guadeloupe mosquito mononega-like virus,North America,12,
14739,Guadeloupe mosquito quaranja-like virus 1,North America,39,
14740,Guadeloupe mosquito quaranja-like virus 2,North America,4,
14741,Guadeloupe mosquito quaranja-like virus 3,North America,4,
14742,Guadeloupe mosquito virus,North America,74,
14743,Guadeloupe phasivirus,North America,3,
14744,Guagua virus,South America,4,
14745,Guaico Culex virus,North America,34,
14746,Guaico Culex virus,South America,27,
14747,Guajara orthobunyavirus,South America,9,
14748,Guama orthobunyavirus,South America,6,
14749,Guanarito mammarenavirus,Oceans and Seas,15,
14750,Guanarito mammarenavirus,South America,133,
14751,Guangdong catfish astro-like virus,Asia,1,
14752,Guangdong chinese water skink astrovirus,Asia,2,
14753,Guangdong chinese water skink coronavirus,Asia,6,
14754,Guangdong chinese water skink picobirnavirus,Asia,1,
14755,Guangdong chinese water snake astrovirus,Asia,2,
14756,Guangdong chinese water snake picornavirus,Asia,1,
14757,Guangdong chinese water snake rubivirus,Asia,2,
14758,Guangdong chinese water snake torovirus,Asia,6,
14759,Guangdong fish caecilians hepevirus,Asia,2,
14760,Guangdong fish caecilians picornavirus,Asia,1,
14761,Guangdong greater green snake calicivirus,Asia,3,
14762,Guangdong mandarin rat snake torovirus,Asia,8,
14763,Guangdong pseudohemiculter dispar calicivirus,Asia,2,
14764,Guangdong red-banded snake picornavirus,Asia,1,
14765,Guangdong red-banded snake torovirus,Asia,12,
14766,Guangdong sanke astrovirus,Asia,2,
14767,Guangdong spotted longbarbel catfish picornavirus,Asia,1,
14768,Guangxi changeable lizard astrovirus,Asia,2,
14769,Guangxi changeable lizard picornavirus 1,Asia,1,
14770,Guangxi changeable lizard picornavirus 2,Asia,1,
14771,Guangxi changeable lizard reovirus,Asia,1,
14772,Guangxi chinese leopard gecko hepacivirus,Asia,1,
14773,Guangxi chinese leopard gecko picornavirus,Asia,1,
14774,Guangxi houndshark hepacivirus,Asia,2,
14775,Guangxi orbivirus,Asia,34,
14776,Guangxi tick virus,Asia,142,
14777,Guangzhou sobemo-like virus,Asia,20,
14778,Guapiacu virus,South America,7,
14779,Guar leaf curl alphasatellite,Asia,50,
14780,Guarani virus,South America,1,
14781,Guarapuava tymovirus-like 1,South America,4,
14782,Guarapuava tymovirus-like 2,South America,2,
14783,Guarapuava tymovirus-like 3,South America,2,
14784,Guaroa orthobunyavirus,South America,92,
14785,Guato paramyxovirus,South America,7,
14786,Guato virus,South America,3,
14787,Gudgenby Calliphora mononega-like virus,Oceans and Seas,4,
14788,Gudgenby flavi-like virus,Oceans and Seas,1,
14789,Gudgeon associated circular DNA virus,Europa,2,
14790,Guenon simian foamy virus,Africa,10,
14791,Guertu bandavirus,Asia,21,
14792,Guinardia delicatula RNA virus 01,Europa,2,
14793,Guinardia delicatula RNA virus 02,Europa,1,
14794,Guinardia delicatula RNA virus 03,Europa,1,
14795,Guinardia delicatula RNA virus 04,Europa,1,
14796,Guinea fowl astrovirus,Europa,25,
14797,Guinea fowl circovirus,Asia,1,
14798,Guinea fowl picornavirus,Europa,2,
14799,Guinea pig adenovirus,Europa,36,
14800,Guinea pig adenovirus,Oceans and Seas,36,
14801,Guiyang Dicistro-like virus 1,Asia,1,
14802,Guiyang Dicistro-like virus 2,Asia,1,
14803,Guiyang Dicistro-like virus 3,Asia,1,
14804,Guiyang Dicistro-like virus 4,Asia,1,
14805,Guiyang Nidovirales-like virus 1,Asia,5,
14806,Guiyang Phasma-like virus 1,Asia,2,
14807,Guiyang Solinvi-like virus 1,Asia,1,
14808,Guiyang Solinvi-like virus 2,Asia,2,
14809,Guiyang Solinvi-like virus 3,Asia,1,
14810,Guiyang Tospo-like virus 1,Asia,2,
14811,Guiyang argiope bruennichi dicistrovirus 1,Asia,2,
14812,Guiyang argiope bruennichi iflavirus 1,Asia,3,
14813,Guiyang argiope bruennichi iflavirus 2,Asia,4,
14814,Guiyang argiope bruennichi nora-like virus 1,Asia,4,
14815,Guiyang argiope bruennichi nora-like virus 2,Asia,1,
14816,Guiyang argiope bruennichi polycipivirus 1,Asia,5,
14817,Guiyang argiope bruennichi polycipivirus 2,Asia,5,
14818,Guiyang benyvirus 1,Asia,2,
14819,Guiyang benyvirus 2,Asia,2,
14820,Guiyang chuvirus 1,Asia,3,
14821,Guiyang cletus punctiger permutotetra-like virus 1,Asia,2,
14822,Guiyang dicistrovirus 1,Asia,2,
14823,Guiyang dicistrovirus 2,Asia,2,
14824,Guiyang dicistrovirus 3,Asia,2,
14825,Guiyang dicistrovirus 4,Asia,4,
14826,Guiyang lispivirus 1,Asia,2,
14827,Guiyang lispivirus 2,Asia,2,
14828,Guiyang narnavirus 1,Asia,2,
14829,Guiyang nephotettix cincticeps rhabdovirus 1,Asia,12,
14830,Guiyang nodavirus 1,Asia,3,
14831,Guiyang nodavirus 2,Asia,2,
14832,Guiyang nodavirus 3,Asia,2,
14833,Guiyang partitivirus 1,Asia,2,
14834,Guiyang permutotetra-like virus 1,Asia,1,
14835,Guiyang permutotetra-like virus 2,Asia,2,
14836,Guiyang picorna-like virus 1,Asia,1,
14837,Guiyang picorna-like virus 2,Asia,1,
14838,Guiyang polycipivirus 1,Asia,5,
14839,Guiyang polycipivirus 2,Asia,5,
14840,Guiyang srgiope bruennichi iflavirus 1,Asia,1,
14841,Guiyang tetragnatha nitens iflavirus 1,Asia,1,
14842,Guiyang tombus-like virus 1,Asia,4,
14843,Guiyang xinmovirus 1,Asia,5,
14844,Gulkevichi virus,Europa,3,
14845,Gull adenovirus,Asia,1,
14846,Gull adenovirus,Europa,3,
14847,Gull circovirus,Europa,12,
14848,Gull circovirus,North America,10,
14849,Gull coronavirus,North America,4,
14850,Gull metapneumovirus,North America,13,
14851,Gull papillomavirus 1,North America,15,
14852,Gull papillomavirus 2,North America,3,
14853,Gull papillomavirus 3,North America,2,
14854,Gulmivirus arvadaptatum,North America,3,
14855,Gulmivirus arvenecus,North America,3,
14856,Gulmivirus arvicola,North America,3,
14857,Gulmivirus arvihabitans,North America,3,
14858,Gulmivirus arvivicinum,North America,3,
14859,Gulmivirus asiohabitans,North America,3,
14860,Gulmivirus asiovicinum,North America,3,
14861,Gulmivirus asiovivens,North America,3,
14862,Gunawavirus borboradaptatum,Asia,3,
14863,Gungahlin Chrysomya dicistrovirus,Oceans and Seas,1,
14864,Gungahlin Chrysomya noda-like virus,Oceans and Seas,1,
14865,Gungahlin flea-associated Ilarvirus,Oceans and Seas,1,
14866,Gunnison's prairie dog retrovirus,North America,8,
14867,Gurupi chuvirus-like 1,South America,1,
14868,Gurupi chuvirus-like 2,South America,1,
14869,Gutsystermes virus,Africa,2,
14870,Gynaephora ruoergensis nucleopolyhedrovirus,Asia,134,
14871,Gyromitra esculenta endornavirus 1,North America,1,
14872,Gyromitra esculenta partitivirus 1,Asia,2,
14873,Gyrovirus 10,North America,49,
14874,Gyrovirus 3,Asia,9,
14875,Gyrovirus 3,South America,4,
14876,Gyrovirus 6,Asia,6,
14877,Gyrovirus 6,South America,1,
14878,Gyrovirus 9,South America,3,
14879,Gyrovirus GyV9,Europa,3,
14880,Gyrovirus VC5,South America,1,
14881,Gyrovirus VC7,South America,1,
14882,Gyrovirus fulgla1,North America,6,
14883,Gyrovirus galga1,Africa,34,
14884,Gyrovirus galga1,Asia,96,
